conversation_id,rep_id,client_id,date,product,product_category,specialite_cible,objection_type,objection_text,rep_response,response_quality,niveau_alia,visit_format,visit_step,medecin_type,scientific_accuracy_score,communication_clarity_score,objection_handling_score,overall_score,acrv_score,conformite_flag,client_sentiment,conversation_duration_sec,outcome,skill_tags
CONV_1089,REP_214,CLIENT_180,2026-02-11,Vitonic Grossesse B30,Grossesse – support nutritionnel,Gynéco,securite,Je suis très prudent avec tout produit en grossesse,"Je comprends votre réticence. Vous craignez quoi précisément : dosage, tolérance ou interactions ? Réponse prudente avec renvoi à la fiche et plan B selon le trimestre. Avec ces précisions, est-ce que vous seriez à l'aise pour l'envisager ? (selon la fiche produit)",Excellent,Confirmé,Approfondie,5,Facilitant,10.0,9.69,8.4,9.19,3,1,Positif,423,Prochain RDV fixé,ACRV|conformite
CONV_1090,REP_200,CLIENT_197,2025-12-14,Vitonic Tonus Plus B30,Tonus – cure énergie,MG,autre,Je préfère une approche médicale classique,"Je comprends votre réticence. Dans quels cas vous acceptez un support complémentaire ? Positionnement support clair avec prudence et complémentarité médicale. En complément de votre approche, est-ce que ça vous semble acceptable ? (selon la fiche produit)",Excellent,Confirmé,Approfondie,5,Promouvant,8.44,9.02,10.0,9.32,4,1,Neutre,270,Prochain RDV fixé,ACRV|conformite|questionnement
CONV_1091,REP_201,CLIENT_040,2025-11-17,Vitonic Conception B30,Conception – préconception,Gynéco,autre,Je ne veux pas promettre de résultats sur la conception,"Votre point est tout à fait valable. Quel objectif réaliste vous semble acceptable : routine ou observance ? Positionnement support uniquement avec suivi rigoureux. Dans ce cadre support strict, est-ce que vous pouvez l'envisager ? (je vous confirme par la source)",Excellent,Confirmé,Approfondie,6,Promouvant,8.35,9.13,9.27,9.0,3,1,Positif,325,Engagement obtenu,ACRV|conformite|questionnement
CONV_1092,REP_202,CLIENT_040,2025-10-14,Pédiakids Apigrip 150ml,Pédiatrie – confort saisonnier,MG,comportement_patient,Les parents veulent un cocktail de produits,"Votre point est tout à fait valable. Ils demandent quoi exactement comme combinaison ? Recadrage avec règles simples et support d'information parent. Avec ce message simple, pensez-vous pouvoir recadrer leurs attentes ?",Excellent,Confirmé,Approfondie,6,Promouvant,9.89,8.87,9.09,9.22,3,1,Positif,357,Prochain RDV fixé,ACRV|conformite
CONV_1093,REP_203,CLIENT_207,2026-02-23,Pédiakids Oméga3 150ml,Oméga-3 – enfant,MG,observance,Les enfants refusent à cause du goût,"Je comprends tout à fait votre préoccupation. À quel moment de la journée c'est le plus difficile pour eux ? Astuces observance adaptées à l'enfant et test sur 2 semaines. Avec ces astuces pratiques, pensez-vous que l'adhésion s'améliorerait ? (dans le cadre de l'AMM)",Excellent,Expert,Standard,6,Promouvant,8.24,8.87,9.66,9.07,4,1,Positif,185,Test accepté,ACRV|closing|conformite|questionnement
CONV_1094,REP_204,CLIENT_028,2025-11-21,LV Phytocalm B30,Calme / stress – support,MG,comportement_patient,Mes patients veulent un vrai somnifère,"Je comprends votre réticence. Que demandent-ils exactement comme effet et dans quel délai ? Recadrage des attentes, limites claires et orientation médicale si besoin. Avec ce recadrage, est-ce que vous pouvez orienter ces patients ?",Excellent,Confirmé,Approfondie,4,Facilitant,8.85,8.74,9.23,8.99,4,1,Positif,347,Prochain RDV fixé,ACRV|conformite|questionnement
CONV_1095,REP_205,CLIENT_041,2026-01-06,Oligovit Zinc B15,Zinc – cure courte,Dermato,conviction,Pas convaincu par les données sur le zinc,"C'est une question légitime et importante. Quel repère scientifique vous manque pour vous convaincre ? 1 repère ciblé sur l'indication, positionnement clair et suivi. Avec ce repère, est-ce que vous envisageriez un test ?",Excellent,Expert,Approfondie,5,Analysant,5.53,6.26,7.49,6.63,4,1,Positif,450,Engagement obtenu,ACRV|closing|conformite|questionnement
CONV_1096,REP_206,CLIENT_035,2025-11-07,LV Fersang B60,Fer / énergie,Gynéco,tolerance,Trop d'intolérance digestive signalée,"C'est une objection fréquente. C'est plutôt nausées, constipation, ou autre inconfort ? Conseils de prise adaptés ; je vous partage les recommandations pratiques. Avec ces conseils de prise, pensez-vous que ça pourrait améliorer la tolérance ?",Excellent,Confirmé,Approfondie,5,Promouvant,8.67,8.08,7.65,8.03,4,1,Positif,280,Engagement obtenu,ACRV|conformite
CONV_1097,REP_207,CLIENT_101,2025-12-05,LV Tétra B B30,Vitamines B – énergie,MG,comportement_patient,Mes patients ne prennent pas régulièrement,"Je comprends votre réticence. Quel est le frein principal : l'oubli ou la motivation ? Astuce observance avec rituel de prise et rappel, cure courte test. Est-ce que cette approche par cure courte pourrait améliorer l'adhésion ?",Excellent,Confirmé,Standard,6,Facilitant,8.02,7.93,9.13,8.49,4,1,Positif,109,Engagement obtenu,ACRV|closing|conformite|questionnement
CONV_1098,REP_208,CLIENT_158,2025-11-16,PULMAX antitussif 150ml,Toux – sirop,ORL,temps,Pas le temps pour une présentation,"Je comprends votre réticence. Vous avez 20 secondes ou je repasse demain ? 1 indication de bon usage, je laisse une fiche et je reviens. D'accord pour que je repasse avec plus de détails ? (dans le respect du cadre)",Excellent,Confirmé,Approfondie,6,Contrôlant,7.82,8.92,8.31,8.37,4,1,Positif,261,Engagement obtenu,ACRV|conformite
CONV_1099,REP_209,CLIENT_068,2026-02-15,Oligovit Vitamine C B30,Vitamine C – soutien,MG,autre,Pas d'intérêt clinique démontré,"Votre point est tout à fait valable. Sur quels cas vous voyez un bénéfice perçu chez vos patients ? Positionnement support avec prudence, pas de promesse clinique. Dans ce cadre support, est-ce que ça vous semble acceptable ? (je vous confirme par la source)",Excellent,Confirmé,Approfondie,6,Promouvant,9.28,7.97,8.09,8.35,4,1,Positif,302,Prochain RDV fixé,ACRV|conformite|questionnement
CONV_1100,REP_210,CLIENT_106,2026-01-07,Vitonic Allaitement B45,Allaitement – support nutritionnel,MG,securite,Je suis très prudent avec les produits en allaitement,"C'est une objection fréquente. Votre vigilance porte sur quoi exactement : dosage, tolérance ou interactions ? Réponse prudente avec renvoi à la fiche produit et proposition d'un plan B. Avec ces précautions, est-ce que vous seriez à l'aise pour l'envisager ? (je vous confirme par la source)",Excellent,Confirmé,Standard,4,Facilitant,9.92,8.0,9.92,9.34,3,1,Neutre,164,Prochain RDV fixé,ACRV|conformite
CONV_1101,REP_211,CLIENT_050,2025-11-03,Pédiakids Crème change 40g,Dermite du siège – topique,MG,autre,Ça ne marche pas toujours dans mon expérience,"Je vous remercie de soulever ce point. Sur quel contexte exactement : mycose, irritation, ou allergie ? Clarification diagnostique, orientation si besoin, positionnement en prévention. En prévention sur ce profil, est-ce que vous pensez que ça a sa place ? (dans le cadre de l'AMM)",Excellent,Expert,Approfondie,6,Facilitant,8.49,9.47,8.97,9.0,4,1,Positif,307,Prochain RDV fixé,ACRV|segmentation|conformite|questionnement
CONV_1102,REP_212,CLIENT_011,2025-11-13,Omévie Oméga3 1000 B30,Oméga-3 – adulte,MG,autre,Je ne priorise pas les oméga-3 en consultation,"C'est une question légitime et importante. Sur quel profil de patient vous l'accepteriez comme support ? Segmentation précise avec cure test sur 3 patients ciblés. Sur ce profil précis, est-ce que vous seriez prêt à l'essayer ? (dans le cadre de l'AMM)",Excellent,Expert,Standard,5,Promouvant,7.82,10.0,8.56,8.81,4,1,Positif,208,Engagement obtenu,ACRV|closing|segmentation|conformite|questionnement
CONV_1103,REP_213,CLIENT_058,2026-02-11,Pédiakids Apitou N1 N2 150ml,Toux pédiatrique – sèche/grasse,Pédiatre,autre,Je ne veux pas multiplier les références pédiatriques,"Votre point est tout à fait valable. Vous préférez une règle simple pour choisir ? 1 règle de tri claire entre les deux références et plan B. Avec cette règle simple, est-ce que ça facilite votre choix ? (selon la fiche produit)",Excellent,Confirmé,Approfondie,4,Promouvant,9.21,9.77,8.86,9.22,4,1,Positif,331,Prochain RDV fixé,ACRV|conformite
CONV_1104,REP_214,CLIENT_016,2025-09-23,Phytothéra CoQ10 B60,Coenzyme Q10 – support énergétique,MG,conviction,Pas convaincu par les données sur la CoQ10,"C'est une question légitime et importante. Vous attendez quel type de repère scientifique ? 1 repère ciblé, cure test sur 2 patients et retour à J+30. Avec ce repère, est-ce que vous seriez prêt à tester sur quelques cas ? (selon la notice)",Excellent,Expert,Approfondie,5,Analysant,8.79,7.68,9.42,8.74,4,1,Positif,390,Test accepté,ACRV|closing|conformite|questionnement
CONV_1105,REP_200,CLIENT_028,2025-11-25,Vitonic Grossesse B30,Grossesse – support nutritionnel,MG,securite,Je suis très prudent avec tout produit en grossesse,"C'est une question légitime et importante. Vous craignez quoi précisément : dosage, tolérance ou interactions ? Réponse prudente avec renvoi à la fiche et plan B selon le trimestre. Avec ces précisions, est-ce que vous seriez à l'aise pour l'envisager ? (selon la notice)",Excellent,Expert,Approfondie,4,Facilitant,8.22,9.56,9.47,9.18,4,1,Positif,368,Prochain RDV fixé,ACRV|conformite
CONV_1106,REP_201,CLIENT_220,2026-02-11,Vitonic Tonus Plus B30,Tonus – cure énergie,MG,autre,Je préfère une approche médicale classique,"Votre point est tout à fait valable. Dans quels cas vous acceptez un support complémentaire ? Positionnement support clair avec prudence et complémentarité médicale. En complément de votre approche, est-ce que ça vous semble acceptable ? (selon la fiche produit)",Excellent,Confirmé,Approfondie,5,Promouvant,8.73,8.07,8.64,8.49,4,1,Positif,372,Engagement obtenu,ACRV|conformite|questionnement
CONV_1107,REP_202,CLIENT_147,2025-09-03,Vitonic Conception B30,Conception – préconception,MG,temps,Mes patientes oublient vite la routine,"C'est une objection fréquente. C'est un oubli pur ou un manque de motivation selon vous ? Rituel de prise, rappel digital et point retour à J+15. Avec ce système de rappel, pensez-vous que l'observance s'améliorerait ? (selon la fiche produit)",Excellent,Confirmé,Approfondie,5,Promouvant,8.08,8.31,8.36,8.28,3,1,Positif,430,Prochain RDV fixé,ACRV|conformite
CONV_1108,REP_203,CLIENT_123,2025-10-10,Pédiakids Apigrip 150ml,Pédiatrie – confort saisonnier,MG,autre,Ils arrêtent dès l'amélioration des symptômes,"Je comprends tout à fait votre préoccupation. Vous le voyez souvent dans votre pratique pédiatrique ? Conseil durée d'usage recommandée avec suivi à J+5. Avec ce conseil de durée, est-ce que les parents seraient mieux guidés ?",Excellent,Expert,Standard,6,Promouvant,7.77,9.25,8.85,8.7,3,1,Positif,128,Engagement obtenu,ACRV|conformite
CONV_1109,REP_204,CLIENT_029,2025-09-16,Pédiakids Oméga3 150ml,Oméga-3 – enfant,Pédiatre,securite,Je suis prudent sur les allégations cognitives,"Votre point est tout à fait valable. Quel bénéfice support vous semble acceptable pour ces patients ? Cadrage strict sur le support, fiche produit remise et suivi. Dans ce cadre support sans allégation, est-ce acceptable pour vous ? (je vous confirme par la source)",Excellent,Confirmé,Approfondie,6,Facilitant,10.0,9.2,9.04,9.33,4,1,Positif,348,Engagement obtenu,ACRV|conformite|questionnement
CONV_1110,REP_205,CLIENT_102,2025-11-05,LV Phytocalm B30,Calme / stress – support,MG,temps,Je préfère éviter ce type de produits en consultation,"C'est une question légitime et importante. Sur quels profils précis vous accepteriez un support naturel ? Segmentation ciblée avec cure test sur des profils stress léger. Sur ce profil stress léger, est-ce que vous seriez à l'aise ? (dans le cadre de l'AMM)",Excellent,Expert,Standard,5,Promouvant,9.31,9.75,8.25,8.96,4,1,Positif,71,Prochain RDV fixé,ACRV|closing|segmentation|conformite|questionnement
CONV_1111,REP_206,CLIENT_115,2025-12-06,Oligovit Zinc B15,Zinc – cure courte,Dermato,autre,"Tout le monde demande du zinc, c'est trop galvaudé","Je comprends votre réticence. Quel profil prioritaire vous identifiez dans ces demandes ? Segmentation précise avec cure test de 15 jours. Sur ce profil bien ciblé, est-ce que ça vous semble pertinent ? (je vous confirme par la source)",Excellent,Confirmé,Approfondie,4,Promouvant,7.95,8.58,5.92,7.23,4,1,Neutre,255,Test accepté,ACRV|closing|segmentation|conformite|questionnement
CONV_1112,REP_207,CLIENT_211,2025-10-29,LV Fersang B60,Fer / énergie,MG,habitudes,J'ai mes habitudes avec un autre fer,"Je comprends votre réticence. Sur quels patients vous êtes le moins satisfait en tolérance ou adhésion ? Justement, positionnement en plan B sur ces profils avec suivi à J+7 et J+14. Est-ce que ça répond à votre préoccupation sur ces cas particuliers ? (selon la fiche produit)",Excellent,Confirmé,Approfondie,6,Contrôlant,8.29,7.95,7.8,7.97,4,1,Neutre,254,Prochain RDV fixé,ACRV|segmentation|conformite|questionnement
CONV_1113,REP_208,CLIENT_153,2025-09-09,LV Tétra B B30,Vitamines B – énergie,MG,comportement_patient,Mes patients ne prennent pas régulièrement,"Je comprends votre réticence. Quel est le frein principal : l'oubli ou la motivation ? Astuce observance avec rituel de prise et rappel, cure courte test. Est-ce que cette approche par cure courte pourrait améliorer l'adhésion ?",Excellent,Confirmé,Standard,4,Facilitant,9.46,7.32,9.43,8.8,4,1,Positif,111,Engagement obtenu,ACRV|closing|conformite|questionnement
CONV_1114,REP_209,CLIENT_225,2025-10-07,PULMAX antitussif 150ml,Toux – sirop,ORL,temps,Pas le temps pour une présentation,"Je comprends tout à fait votre préoccupation. Vous avez 20 secondes ou je repasse demain ? 1 indication de bon usage, je laisse une fiche et je reviens. D'accord pour que je repasse avec plus de détails ?",Excellent,Expert,Standard,6,Contrôlant,8.87,7.25,10.0,8.89,4,1,Positif,214,Engagement obtenu,ACRV|conformite
CONV_1115,REP_210,CLIENT_179,2025-12-16,Oligovit Vitamine C B30,Vitamine C – soutien,MG,autre,"Tout le monde en demande, c'est galvaudé","C'est une objection fréquente. Quel profil vous voudriez prioriser dans votre patientèle ? Segmentation patient ciblée avec cure courte et suivi J+15. Sur ce profil précis, est-ce que vous seriez prêt à l'essayer ?",Excellent,Confirmé,Standard,6,Promouvant,10.0,9.52,8.48,9.17,4,1,Neutre,223,Prochain RDV fixé,ACRV|segmentation|conformite|questionnement
CONV_1116,REP_211,CLIENT_085,2026-02-13,Vitonic Allaitement B45,Allaitement – support nutritionnel,Gynéco,securite,Je suis très prudent avec les produits en allaitement,"C'est une objection fréquente. Votre vigilance porte sur quoi exactement : dosage, tolérance ou interactions ? Réponse prudente avec renvoi à la fiche produit et proposition d'un plan B. Avec ces précautions, est-ce que vous seriez à l'aise pour l'envisager ? (dans le respect du cadre)",Excellent,Confirmé,Standard,5,Facilitant,8.19,8.51,7.33,7.9,3,1,Positif,164,Test accepté,ACRV|conformite
CONV_1117,REP_212,CLIENT_223,2025-11-25,Pédiakids Crème change 40g,Dermite du siège – topique,MG,temps,Les parents changent de marque tout le temps,"Je comprends votre réticence. Pourquoi changent-ils selon vous, le prix ou l'efficacité perçue ? Mettre en avant la routine, le conseil simple et le suivi observance. Avec ce message de routine, pensez-vous pouvoir fidéliser ces familles ? (selon la fiche produit)",Excellent,Confirmé,Standard,6,Contrôlant,6.63,7.14,7.55,7.2,4,1,Positif,166,Test accepté,ACRV|conformite|questionnement
CONV_1118,REP_213,CLIENT_093,2026-01-10,Omévie Oméga3 1000 B30,Oméga-3 – adulte,MG,tolerance,Problème de reflux et d'odeur signalé,"Je comprends tout à fait votre préoccupation. C'est fréquent chez quel type de patients dans votre pratique ? Conseil prise au repas et adaptation du schéma pour le confort. Avec ce conseil pratique, pensez-vous que ça améliorerait la tolérance ?",Excellent,Expert,Standard,6,Promouvant,8.72,8.49,9.21,8.87,4,1,Positif,193,Test accepté,ACRV|conformite|questionnement
CONV_1119,REP_214,CLIENT_051,2025-11-24,Pédiakids Apitou N1 N2 150ml,Toux pédiatrique – sèche/grasse,Pédiatre,autre,Je ne veux pas multiplier les références pédiatriques,"Je vous remercie de soulever ce point. Vous préférez une règle simple pour choisir ? 1 règle de tri claire entre les deux références et plan B. Avec cette règle simple, est-ce que ça facilite votre choix ? (je vérifie et je reviens)",Excellent,Expert,Standard,6,Promouvant,8.23,8.31,7.77,8.05,2,1,Neutre,138,Test accepté,conformite
CONV_1120,REP_200,CLIENT_165,2025-09-16,Phytothéra CoQ10 B60,Coenzyme Q10 – support énergétique,MG,autre,Trop de demandes énergie dans ma patientèle,"Je comprends votre réticence. Quel profil vous priorisez parmi ces demandes ? Segmentation et cadrage des attentes réalistes. Sur ce profil ciblé, est-ce que vous pensez que ça a de la valeur ? (je vous confirme par la source)",Excellent,Confirmé,Approfondie,6,Promouvant,8.85,9.39,8.62,8.91,4,1,Neutre,337,Engagement obtenu,ACRV|segmentation|conformite|questionnement
CONV_1121,REP_201,CLIENT_005,2025-09-02,Vitonic Grossesse B30,Grossesse – support nutritionnel,MG,securite,Je suis très prudent avec tout produit en grossesse,"Je comprends tout à fait votre préoccupation. Vous craignez quoi précisément : dosage, tolérance ou interactions ? Réponse prudente avec renvoi à la fiche et plan B selon le trimestre. Avec ces précisions, est-ce que vous seriez à l'aise pour l'envisager ?",Excellent,Expert,Approfondie,6,Facilitant,7.35,7.95,8.03,7.84,4,1,Neutre,309,Prochain RDV fixé,ACRV|conformite
CONV_1122,REP_202,CLIENT_204,2025-12-11,Vitonic Tonus Plus B30,Tonus – cure énergie,MG,comportement_patient,Mes patients veulent des résultats immédiats,"Je vous remercie de soulever ce point. Qu'attendent-ils exactement comme résultat et dans quel délai ? Recadrage des attentes avec cure test et conseils hygiène de vie. Avec ce cadrage réaliste, pensez-vous qu'ils seraient plus satisfaits ?",Excellent,Expert,Standard,4,Facilitant,7.75,9.03,9.9,9.1,4,1,Positif,196,Test accepté,ACRV|closing|conformite|questionnement
CONV_1123,REP_203,CLIENT_122,2025-09-15,Vitonic Conception B30,Conception – préconception,Gynéco,temps,Mes patientes oublient vite la routine,"C'est une objection fréquente. C'est un oubli pur ou un manque de motivation selon vous ? Rituel de prise, rappel digital et point retour à J+15. Avec ce système de rappel, pensez-vous que l'observance s'améliorerait ?",Excellent,Confirmé,Approfondie,5,Promouvant,8.35,10.0,9.65,9.43,2,1,Neutre,342,Test accepté,conformite
CONV_1124,REP_204,CLIENT_140,2026-01-23,Pédiakids Apigrip 150ml,Pédiatrie – confort saisonnier,Pédiatre,comportement_patient,Les parents veulent un cocktail de produits,"C'est une question légitime et importante. Ils demandent quoi exactement comme combinaison ? Recadrage avec règles simples et support d'information parent. Avec ce message simple, pensez-vous pouvoir recadrer leurs attentes ? (je vérifie et je reviens)",Excellent,Expert,Standard,4,Promouvant,10.0,7.85,8.52,8.69,3,1,Positif,203,Prochain RDV fixé,ACRV|conformite
CONV_1125,REP_205,CLIENT_190,2025-10-06,Pédiakids Oméga3 150ml,Oméga-3 – enfant,Pédiatre,observance,Les enfants refusent à cause du goût,"Je comprends votre réticence. À quel moment de la journée c'est le plus difficile pour eux ? Astuces observance adaptées à l'enfant et test sur 2 semaines. Avec ces astuces pratiques, pensez-vous que l'adhésion s'améliorerait ? (je vous confirme par la source)",Excellent,Confirmé,Approfondie,6,Promouvant,9.28,7.83,9.45,8.92,4,1,Positif,446,Test accepté,ACRV|closing|conformite|questionnement
CONV_1126,REP_206,CLIENT_111,2025-10-18,LV Phytocalm B30,Calme / stress – support,MG,comportement_patient,Mes patients veulent un vrai somnifère,"Je comprends tout à fait votre préoccupation. Que demandent-ils exactement comme effet et dans quel délai ? Recadrage des attentes, limites claires et orientation médicale si besoin. Avec ce recadrage, est-ce que vous pouvez orienter ces patients ?",Excellent,Expert,Approfondie,4,Facilitant,6.66,7.61,5.91,6.61,4,1,Positif,252,Prochain RDV fixé,ACRV|conformite|questionnement
CONV_1127,REP_207,CLIENT_070,2025-09-27,Oligovit Zinc B15,Zinc – cure courte,MG,autre,"Tout le monde demande du zinc, c'est trop galvaudé","C'est une objection fréquente. Quel profil prioritaire vous identifiez dans ces demandes ? Segmentation précise avec cure test de 15 jours. Sur ce profil bien ciblé, est-ce que ça vous semble pertinent ? (selon la fiche produit)",Excellent,Confirmé,Approfondie,5,Promouvant,7.99,9.66,8.69,8.81,4,1,Neutre,449,Test accepté,ACRV|closing|segmentation|conformite|questionnement
CONV_1128,REP_208,CLIENT_044,2026-02-23,LV Fersang B60,Fer / énergie,Gynéco,habitudes,J'ai mes habitudes avec un autre fer,"C'est une question légitime et importante. Sur quels patients vous êtes le moins satisfait en tolérance ou adhésion ? Justement, positionnement en plan B sur ces profils avec suivi à J+7 et J+14. Est-ce que ça répond à votre préoccupation sur ces cas particuliers ? (dans le cadre de l'AMM)",Excellent,Expert,Approfondie,4,Contrôlant,7.47,9.12,8.09,8.24,4,1,Positif,326,Prochain RDV fixé,ACRV|segmentation|conformite|questionnement
CONV_1129,REP_209,CLIENT_051,2025-12-27,LV Tétra B B30,Vitamines B – énergie,MG,autre,Je n'aime pas les compléments vitamines B,"C'est une question légitime et importante. Sur quels cas vous acceptez une aide pratique en support ? Positionnement support avec rappel des limites et suivi à J+14. Dans ce cadre précis, est-ce que ça vous semble acceptable ?",Excellent,Expert,Approfondie,6,Promouvant,8.11,8.0,8.98,8.47,4,1,Neutre,375,Prochain RDV fixé,ACRV|conformite|questionnement
CONV_1130,REP_210,CLIENT_046,2025-12-11,PULMAX antitussif 150ml,Toux – sirop,Pédiatre,autre,Je préfère traiter la cause plutôt que le symptôme,"Je comprends votre réticence. Dans quel cas vous cherchez surtout du confort symptomatique ? Positionnement confort avec rappel de la surveillance étiologique. En complément du traitement étiologique, est-ce que ça vous semble pertinent ?",Excellent,Confirmé,Standard,6,Promouvant,9.36,9.82,9.84,9.71,4,1,Positif,220,Test accepté,ACRV|conformite|questionnement
CONV_1131,REP_211,CLIENT_182,2025-10-24,Oligovit Vitamine C B30,Vitamine C – soutien,MG,autre,Pas d'intérêt clinique démontré,"Votre point est tout à fait valable. Sur quels cas vous voyez un bénéfice perçu chez vos patients ? Positionnement support avec prudence, pas de promesse clinique. Dans ce cadre support, est-ce que ça vous semble acceptable ?",Excellent,Confirmé,Approfondie,6,Promouvant,9.43,8.63,9.9,9.4,3,1,Positif,296,Prochain RDV fixé,ACRV|conformite|questionnement
CONV_1132,REP_212,CLIENT_203,2025-12-02,Vitonic Allaitement B45,Allaitement – support nutritionnel,Gynéco,autre,Trop de produits post-partum sur le marché,"C'est une question légitime et importante. Quel besoin prioritaire identifiez-vous chez vos patientes ? Cadrage sur 1 besoin prioritaire avec micro-test sur 2 patientes. Est-ce que sur ce besoin précis, ça mérite un test ? (dans le cadre de l'AMM)",Excellent,Expert,Standard,6,Promouvant,8.34,8.75,8.25,8.42,4,1,Neutre,78,Prochain RDV fixé,ACRV|closing|conformite|questionnement
CONV_1133,REP_213,CLIENT_067,2025-10-27,Pédiakids Crème change 40g,Dermite du siège – topique,Pédiatre,autre,Ça ne marche pas toujours dans mon expérience,"Je vous remercie de soulever ce point. Sur quel contexte exactement : mycose, irritation, ou allergie ? Clarification diagnostique, orientation si besoin, positionnement en prévention. En prévention sur ce profil, est-ce que vous pensez que ça a sa place ?",Excellent,Expert,Standard,5,Facilitant,7.34,9.8,9.06,8.85,4,1,Positif,110,Engagement obtenu,ACRV|segmentation|conformite|questionnement
CONV_1134,REP_214,CLIENT_201,2025-10-23,Omévie Oméga3 1000 B30,Oméga-3 – adulte,MG,autre,Je ne priorise pas les oméga-3 en consultation,"C'est une objection fréquente. Sur quel profil de patient vous l'accepteriez comme support ? Segmentation précise avec cure test sur 3 patients ciblés. Sur ce profil précis, est-ce que vous seriez prêt à l'essayer ? (je vous confirme par la source)",Excellent,Confirmé,Approfondie,5,Promouvant,8.28,8.23,10.0,9.04,4,1,Positif,293,Test accepté,ACRV|closing|segmentation|conformite|questionnement
CONV_1135,REP_200,CLIENT_142,2025-10-11,Pédiakids Apitou N1 N2 150ml,Toux pédiatrique – sèche/grasse,MG,autre,Je ne veux pas multiplier les références pédiatriques,"Je comprends votre réticence. Vous préférez une règle simple pour choisir ? 1 règle de tri claire entre les deux références et plan B. Avec cette règle simple, est-ce que ça facilite votre choix ? (dans le respect du cadre)",Excellent,Confirmé,Standard,4,Promouvant,8.59,10.0,9.57,9.45,3,1,Positif,149,Prochain RDV fixé,ACRV|conformite
CONV_1136,REP_201,CLIENT_205,2026-01-16,Phytothéra CoQ10 B60,Coenzyme Q10 – support énergétique,MG,autre,Trop de demandes énergie dans ma patientèle,"Je comprends votre réticence. Quel profil vous priorisez parmi ces demandes ? Segmentation et cadrage des attentes réalistes. Sur ce profil ciblé, est-ce que vous pensez que ça a de la valeur ? (selon la fiche produit)",Excellent,Confirmé,Standard,6,Promouvant,9.06,8.08,8.56,8.54,4,1,Positif,112,Prochain RDV fixé,ACRV|segmentation|conformite|questionnement
CONV_1137,REP_202,CLIENT_209,2026-02-20,Vitonic Grossesse B30,Grossesse – support nutritionnel,MG,tolerance,Les nausées empêchent la prise régulière,"Je comprends votre réticence. La prise est plutôt le matin ou le soir selon vos patientes ? Adapter le moment de prise et astuces anti-nausées pratiques. Avec cette adaptation, pensez-vous que l'observance s'améliorerait ?",Excellent,Confirmé,Standard,5,Promouvant,9.08,9.78,8.8,9.16,3,1,Neutre,148,Prochain RDV fixé,ACRV|conformite
CONV_1138,REP_203,CLIENT_126,2025-11-13,Vitonic Tonus Plus B30,Tonus – cure énergie,MG,comportement_patient,Mes patients veulent des résultats immédiats,"C'est une question légitime et importante. Qu'attendent-ils exactement comme résultat et dans quel délai ? Recadrage des attentes avec cure test et conseils hygiène de vie. Avec ce cadrage réaliste, pensez-vous qu'ils seraient plus satisfaits ?",Excellent,Expert,Standard,6,Facilitant,6.65,7.26,6.58,6.8,4,1,Positif,145,Prochain RDV fixé,ACRV|closing|conformite|questionnement
CONV_1139,REP_204,CLIENT_216,2025-12-23,Vitonic Conception B30,Conception – préconception,MG,autre,Je ne veux pas promettre de résultats sur la conception,"C'est une objection fréquente. Quel objectif réaliste vous semble acceptable : routine ou observance ? Positionnement support uniquement avec suivi rigoureux. Dans ce cadre support strict, est-ce que vous pouvez l'envisager ?",Excellent,Confirmé,Approfondie,6,Promouvant,7.71,8.2,7.94,7.96,3,1,Neutre,423,Test accepté,ACRV|conformite|questionnement
CONV_1140,REP_205,CLIENT_139,2025-09-11,Pédiakids Apigrip 150ml,Pédiatrie – confort saisonnier,MG,comportement_patient,Les parents veulent un cocktail de produits,"Je vous remercie de soulever ce point. Ils demandent quoi exactement comme combinaison ? Recadrage avec règles simples et support d'information parent. Avec ce message simple, pensez-vous pouvoir recadrer leurs attentes ? (selon la notice)",Excellent,Expert,Approfondie,4,Promouvant,7.98,8.59,9.4,8.8,3,1,Positif,247,Prochain RDV fixé,ACRV|conformite
CONV_1141,REP_206,CLIENT_177,2025-11-29,Pédiakids Oméga3 150ml,Oméga-3 – enfant,MG,observance,Les enfants refusent à cause du goût,"Je comprends votre réticence. À quel moment de la journée c'est le plus difficile pour eux ? Astuces observance adaptées à l'enfant et test sur 2 semaines. Avec ces astuces pratiques, pensez-vous que l'adhésion s'améliorerait ? (selon la fiche produit)",Excellent,Confirmé,Approfondie,4,Promouvant,9.56,8.25,9.12,8.97,4,1,Positif,361,Prochain RDV fixé,ACRV|closing|conformite|questionnement
CONV_1142,REP_207,CLIENT_202,2025-12-15,LV Phytocalm B30,Calme / stress – support,MG,temps,Je préfère éviter ce type de produits en consultation,"Je comprends votre réticence. Sur quels profils précis vous accepteriez un support naturel ? Segmentation ciblée avec cure test sur des profils stress léger. Sur ce profil stress léger, est-ce que vous seriez à l'aise ? (selon la fiche produit)",Excellent,Confirmé,Approfondie,6,Promouvant,8.66,9.83,7.46,8.47,4,1,Positif,444,Engagement obtenu,ACRV|closing|segmentation|conformite|questionnement
