conversation_id,source_type,source_url,specialite,produit,scenario,objection_type,reponse_type,conversation_text,date_enregistrement,duree_secondes,qualite_audio,transcripteur
CONV_0040,youtube_podcast,,gastro-entérologie,PneumoRelief,Objection preuve,donnees_reelles,argument_real_world,"Délégué: RhumatoFlex représente une avancée dans la polyarthrite rhumatoïde.
Médecin: Vous avez des données en vie réelle ou uniquement des essais contrôlés?
Délégué: Nous disposons maintenant de 3 ans de données registre RHUMATO-REAL couvrant 12000 patients. La rétention à 2 ans est de 78%, supérieure aux anti-TNF de première génération.
Médecin: Qu'en est-il des infections opportunistes?
Délégué: Le taux d'infections graves est de 2.1/100 patients-années, comparable aux standards. Notre programme de dépistage VHB/VHC/VIH est systématique.
Médecin: Ces données me rassurent, je vais l'intégrer à mes options thérapeutiques.",2024-11-14,756,excellente,IA_automatique
CONV_0041,youtube_podcast,https://example.com/podcast/41,rhumatologie,PneumoRelief,Objection complexité,praticite,argument_praticite,"Délégué: Docteur, GastroProtect simplifie le protocole de traitement de la RCH.
Médecin: Le mode d'administration semble compliqué, mes patients âgés vont avoir du mal.
Délégué: Nous avons développé un injecteur auto-administré avec signal sonore et visuel. L'étude d'utilisabilité montre 95% de réussite chez les patients >65 ans sans assistance.
Médecin: L'injection est sous-cutanée?
Délégué: Oui, sous-cutanée hebdomadaire. Notre infirmière déléguée peut former vos patients et fournir des supports vidéo.
Médecin: Ça change la donne, je vais considérer cette option.",2024-02-05,430,bonne,humain_verifie
CONV_0042,simulation,https://example.com/podcast/42,gastro-entérologie,NeuroBalance,Objection sécurité,securite,argument_securite,"Délégué: Bonjour, je souhaiterais vous présenter PneumoRelief pour la BPCO.
Médecin: J'ai lu des articles sur des effets indésirables cardiaques avec cette classe de molécules.
Délégué: Votre vigilance est légitime. L'étude PNEUMO-SAFE incluant 4500 patients n'a montré aucune différence significative d'événements cardiovasculaires majeurs versus placebo. Le bénéfice-risque reste favorable.
Médecin: Et les interactions médicamenteuses?
Délégué: Le profil d'interaction est bien connu. Contre-indication avec les IMAO irréversibles. Aucune interaction majeure avec les bêtabloquants couramment utilisés.
Médecin: Très bien, je note ces informations.",2024-11-09,849,moyenne,IA_automatique
CONV_0043,youtube_podcast,,oncologie,ProCardio-X,Objection preuve,donnees_reelles,argument_real_world,"Délégué: RhumatoFlex représente une avancée dans la polyarthrite rhumatoïde.
Médecin: Vous avez des données en vie réelle ou uniquement des essais contrôlés?
Délégué: Nous disposons maintenant de 3 ans de données registre RHUMATO-REAL couvrant 12000 patients. La rétention à 2 ans est de 78%, supérieure aux anti-TNF de première génération.
Médecin: Qu'en est-il des infections opportunistes?
Délégué: Le taux d'infections graves est de 2.1/100 patients-années, comparable aux standards. Notre programme de dépistage VHB/VHC/VIH est systématique.
Médecin: Ces données me rassurent, je vais l'intégrer à mes options thérapeutiques.",2024-02-24,746,excellente,humain_verifie
CONV_0044,simulation,,rhumatologie,DermaShield,Objection preuve,donnees_reelles,argument_real_world,"Délégué: RhumatoFlex représente une avancée dans la polyarthrite rhumatoïde.
Médecin: Vous avez des données en vie réelle ou uniquement des essais contrôlés?
Délégué: Nous disposons maintenant de 3 ans de données registre RHUMATO-REAL couvrant 12000 patients. La rétention à 2 ans est de 78%, supérieure aux anti-TNF de première génération.
Médecin: Qu'en est-il des infections opportunistes?
Délégué: Le taux d'infections graves est de 2.1/100 patients-années, comparable aux standards. Notre programme de dépistage VHB/VHC/VIH est systématique.
Médecin: Ces données me rassurent, je vais l'intégrer à mes options thérapeutiques.",2024-12-17,829,bonne,mixte
CONV_0045,youtube_podcast,,pneumologie,NeuroBalance,Objection habitudes,changement_habitude,argument_observance,"Délégué: Notre nouvelle formulation de ProCardio-X permet une prise unique quotidienne.
Médecin: Mes patients sont bien équilibrés avec leur bi-thérapie actuelle, pourquoi changer?
Délégué: La simplification du traitement améliore l'observance de 23%. Moins de prises = moins d'oublis. L'étude ADHERENCE-CARDIO le démontre.
Médecin: L'efficacité est-elle maintenue?
Délégué: Non-infériorité démontrée avec moins d'effets indésirables liés à la polymédication. La qualité de vie s'améliore significativement.
Médecin: Je vais proposer cette option à mes patients polymédiqués.",2024-08-04,463,excellente,IA_automatique
CONV_0046,simulation,https://example.com/podcast/46,neurologie,DermaShield,Objection remboursement,acces_remboursement,argument_acces,"Délégué: OncoCare vient d'obtenir son AMM dans le cancer du poumon non à petites cellules.
Médecin: L'AMM c'est bien, mais sans remboursement, mes patients ne pourront pas y accéder.
Délégué: La commission de transparence a émis un avis favorable. Le remboursement est effectif depuis le 1er du mois. Le tarif forfaitaire est de 2847€ par cycle.
Médecin: Et l'hospitalisation à domicile?
Délégué: Prise en charge possible dans le cadre de l'HAD pour les patients éligibles. Notre service patient gère les démarches administratives.
Médecin: Parfait, je vais pouvoir proposer cette option à mes patients.",2024-03-23,632,moyenne,mixte
CONV_0047,youtube_podcast,,rhumatologie,ProCardio-X,Objection spécialité,hors_specialite,argument_parcours_soin,"Délégué: NeuroBalance est indiqué dans la maladie de Parkinson.
Médecin: Ce n'est pas vraiment mon domaine, je préfère laisser le neurologue décider.
Délégué: Bien sûr, mais en médecine générale, vous êtes souvent le premier contact. Reconnaître les signes d'appel permet un diagnostic précoce. Notre guide de dépistage peut vous aider.
Médecin: Quels sont les signes à rechercher?
Délégué: Tremblement de repos, lenteur des mouvements, rigidité. Notre score de dépistage validé permet d'orienter vers le spécialiste au bon moment.
Médecin: Utile effectivement, je vais garder ce document.",2024-12-19,332,moyenne,IA_automatique
CONV_0048,youtube_podcast,,rhumatologie,RhumatoFlex,Objection remboursement,acces_remboursement,argument_acces,"Délégué: OncoCare vient d'obtenir son AMM dans le cancer du poumon non à petites cellules.
Médecin: L'AMM c'est bien, mais sans remboursement, mes patients ne pourront pas y accéder.
Délégué: La commission de transparence a émis un avis favorable. Le remboursement est effectif depuis le 1er du mois. Le tarif forfaitaire est de 2847€ par cycle.
Médecin: Et l'hospitalisation à domicile?
Délégué: Prise en charge possible dans le cadre de l'HAD pour les patients éligibles. Notre service patient gère les démarches administratives.
Médecin: Parfait, je vais pouvoir proposer cette option à mes patients.",2024-01-22,495,bonne,IA_automatique
CONV_0049,youtube_podcast,https://example.com/podcast/49,dermatologie,OncoCare,Objection remboursement,acces_remboursement,argument_acces,"Délégué: OncoCare vient d'obtenir son AMM dans le cancer du poumon non à petites cellules.
Médecin: L'AMM c'est bien, mais sans remboursement, mes patients ne pourront pas y accéder.
Délégué: La commission de transparence a émis un avis favorable. Le remboursement est effectif depuis le 1er du mois. Le tarif forfaitaire est de 2847€ par cycle.
Médecin: Et l'hospitalisation à domicile?
Délégué: Prise en charge possible dans le cadre de l'HAD pour les patients éligibles. Notre service patient gère les démarches administratives.
Médecin: Parfait, je vais pouvoir proposer cette option à mes patients.",2024-06-30,753,bonne,mixte
CONV_0050,youtube_podcast,https://example.com/podcast/50,dermatologie,NeuroBalance,Objection sécurité,securite,argument_securite,"Délégué: Bonjour, je souhaiterais vous présenter PneumoRelief pour la BPCO.
Médecin: J'ai lu des articles sur des effets indésirables cardiaques avec cette classe de molécules.
Délégué: Votre vigilance est légitime. L'étude PNEUMO-SAFE incluant 4500 patients n'a montré aucune différence significative d'événements cardiovasculaires majeurs versus placebo. Le bénéfice-risque reste favorable.
Médecin: Et les interactions médicamenteuses?
Délégué: Le profil d'interaction est bien connu. Contre-indication avec les IMAO irréversibles. Aucune interaction majeure avec les bêtabloquants couramment utilisés.
Médecin: Très bien, je note ces informations.",2024-03-31,602,excellente,IA_automatique
