name,forme,classe,categories_list,primary_category,indications,indication_count,is_complete,avatar_priority_score
Minciligne Brûle Graisse,Gélule,Complément alimentaire,"['Brûle graisses', 'Détox']",Brûle graisses,- Perte de poids - Stimule la thermogenèse - Élimine et déstocke les graisses,3,1,7.0
LV PhytoVeine Gel,Gel,Gel Pour Massage,"['Varices', 'Jambes lourdes']",Varices,- Soulage les douleurs des jambes lourdes - Stimule la circulation sanguine,2,1,5.5
LV GINKO Extra,Gouttes,Complément alimentaire,"['Concentration', 'Mémoire']",Concentration,• Améliore la mémoire et la concentration chez les adultes • Traite la claudication intermittente • Traite les acouphènes,1,1,4.0
Mincivit Detox,Flacon (250 Ml),Complément alimentaire,['Détox'],Détox,- Favorise le drainage des toxines - Stimule les fonctions dépuratives rénales - Adjuvant du régime amincissant,3,1,6.75
Pédiakids Savon extra doux,Savon,Savon,['Peau'],Peau,- Nettoie et hydrate la peau de bébé,1,1,3.75
Vitonic Fer Grossesse,Gélule,Complément alimentaire,['Grossesse'],Grossesse,- Palier les carences en fer - Apport en vitamines et oligo-éléments - Réduit les nausées matinales au cours de la grossesse,3,1,6.75
PHYTOFANE Lotion Antipelliculaire,Lotion,Lotion Antipelliculaire,"['Antipelliculaire', 'Cheveux']",Antipelliculaire,• Elimine efficacement et durablement les pellicules,1,1,4.0
Allergiplant,Forme non spécifiée,Autre,"['Allergie', 'Immunité']",Allergie,Equilibre la réponse du système immunitaire de l’organisme,1,0,2.0
HYDRAFINE,Forme non spécifiée,Autre,['Peau'],Peau,- Permet d’atténuer les brûlures superficielles du premier degré - Favorise la cicatrisation rapide avec une bonne hydratation de la peau - Apaise les piqûres et les rougeurs,3,0,4.75
Plantyl capsule,Capsule,Complément alimentaire,"['Grippe', 'Immunité']",Grippe,- Renforce l’immunité et améliore le confort des voies respiratoires supérieures,1,1,4.0
