name,url,image_url,categories,indications,forme,infos_produit,classe,forme_normalized,classe_normalized,categories_list,primary_category,category_count,indication_count,is_complete,is_supplement,is_cosmetic,is_medical,is_care_product,is_topical,is_oral,avatar_priority_score
PHYTOFANE Shampooing Anti Chute,https://vital.com.tn/products/phytofane-shampooing-anti-chute/,https://vital.com.tn/wp-content/uploads/2024/12/PHYTOFANE-SHAMPOING-ANTI-CHUTE.png,"Anti chute, Cheveux",• Ralentit la chute des cheveux • Stimule la repousse des cheveux,Shampooing,200 ML,Soin,Shampooing,Soin,"['Anti chute', 'Cheveux']",Anti chute,2,1,1,0,0,0,1,0,0,4.0
VASELINE Urée 20%,https://vital.com.tn/products/vaseline-uree-20-3/,https://vital.com.tn/wp-content/uploads/2024/07/vaseline-uree-20-1.jpg,"Hydratation, Kératolytique",• Hydratante • Kératolytique,Crème,35gr,Soin,Crème,Soin,"['Hydratation', 'Kératolytique']",Hydratation,2,1,1,0,0,0,1,1,0,4.0
LV Migrainal,https://vital.com.tn/products/migrainal-3/,https://vital.com.tn/wp-content/uploads/2020/09/Migrainal.png,Migraine,Ginkgo biloba : à proscrire en Co-médication avec des anticoagulants,Gélules,Boite de 30 gélules,Complément alimentaire,Gélule,Complément alimentaire,['Migraine'],Migraine,1,1,1,1,0,0,0,0,1,3.75
Pédiakids trio,https://vital.com.tn/products/pediakids-trio-2/,https://vital.com.tn/wp-content/uploads/2021/09/pediakids-trio.png,Immunité,Information non disponible,Forme non spécifiée,Non spécifié,Autre,Forme non spécifiée,Autre,['Immunité'],Immunité,1,0,0,0,0,0,0,0,0,0.25
Pédiakids Apigrip,https://vital.com.tn/products/pediakids-apigrip-3/,https://vital.com.tn/wp-content/uploads/2017/08/Apigrip.png,"Grippe, Rhume, Soulage",Information non disponible,Sirop,Flacon de 150 ml,Complément alimentaire,Sirop,Complément alimentaire,"['Grippe', 'Rhume', 'Soulage']",Grippe,3,0,0,1,0,0,0,0,1,0.75
Phytofane sérum lissant,https://vital.com.tn/products/phytofane-serum-lissant/,https://vital.com.tn/wp-content/uploads/2022/07/PHYTOPHANE-serum-lissant.png,Cheveux,"- Redonne une vitalité aux cheveux cassants et secs en améliorant leur brillance, leur souplesse et leur hydratation",Sérum,Contient 120 ml,Sérum,Sérum,Sérum,['Cheveux'],Cheveux,1,1,1,0,0,0,0,0,0,3.75
Vaseline Salicylée 2%,https://vital.com.tn/products/vaseline-salicylee-2/,https://vital.com.tn/wp-content/uploads/2022/07/VASELINE-salicylee.png,Peau,- Croûtes - Callosités - Fissures - Squames,crème,"Peau douce, lisse et visiblement saine",crème,Crème,Crème,['Peau'],Peau,1,4,1,0,0,0,0,1,0,8.25
Grossivit Gélule,https://vital.com.tn/products/grossivit-gelule/,https://vital.com.tn/wp-content/uploads/2019/05/gROSSIVIT.png,"Appétit, Prise de poids",- Favorise la prise de poids - Assure un précieux apport en éléments nutritifs* - Améliore la digestion - Stimule l’appétit,Gélule,Boite de 60 gélules,Autre,Gélule,Autre,"['Appétit', 'Prise de poids']",Appétit,2,4,0,0,0,0,0,0,1,6.5
Levure de Riz Rouge,https://vital.com.tn/products/levure-de-riz-rouge/,https://vital.com.tn/wp-content/uploads/2018/08/LEVURE-DE-RIZ-ROUGE.png,"Brûle graisses, Cholestérol","Femmes enceintes et allaitantes, Maladies hépatiques ou rénales, Taux anormalement élevés de transaminases, Personnes Alcooliques.",Gélule,Boite de 60 gélules,Complément alimentaire,Gélule,Complément alimentaire,"['Brûle graisses', 'Cholestérol']",Brûle graisses,2,1,1,1,0,0,0,0,1,4.0
Pédiakids Gripe water,https://vital.com.tn/products/pediakids-gripe-water/,https://vital.com.tn/wp-content/uploads/2020/09/Gripe-water.png,Ballonnement et gaz,- Soulage rapidement les flatulences - Faciliter la digestion,Sirop,Flacon de 150 ml,Complément alimentaire,Sirop,Complément alimentaire,['Ballonnement et gaz'],Ballonnement et gaz,1,2,1,1,0,0,0,0,1,5.25
LV Fersang Bisglycinate de Fer,https://vital.com.tn/products/fersang-bisglycinate-de-fer/,https://vital.com.tn/wp-content/uploads/2018/08/Fersang-Bis.png,Anémie,"- Prévention de la carence martiale - Traitement de l’anémie chez l’adulte, l’enfant et la femme enceinte - Restitution des réserves en fer - Réduit le risque de constipation - Fortifie le sang",Gélules,Boite de 60 gélules,Complément alimentaire,Gélule,Complément alimentaire,['Anémie'],Anémie,1,5,1,1,0,0,0,0,1,8.25
Vitonic Fer,https://vital.com.tn/products/vitonic-fer-2/,https://vital.com.tn/wp-content/uploads/2017/08/VITONIC-fer.png,Fatigue intellectuelle,Femmes enceintes et allaitantes Traitement anticoagulant,Gélule,Boite de 30 gélules,Complément alimentaire,Gélule,Complément alimentaire,['Fatigue intellectuelle'],Fatigue intellectuelle,1,1,1,1,0,0,0,0,1,3.75
Millepertuis,https://vital.com.tn/products/millepertuis-4/,https://vital.com.tn/wp-content/uploads/2017/08/mILLEPERTUIS-1.png,"Anxiété, état d’humeur","Femme enceinte, allaitante et enfant avant l'âge de 12 ans.",Gélule,Boite de 30 gélules,Complément alimentaire,Gélule,Complément alimentaire,"['Anxiété', 'état d’humeur']",Anxiété,2,1,1,1,0,0,0,0,1,4.0
Vitonic DIAB,https://vital.com.tn/products/vitonic-diab-3/,https://vital.com.tn/wp-content/uploads/2017/08/Vitonic-Diab.png,Diabète,Information non disponible,Gélule,Boite de 30 gélules,Complément alimentaire,Gélule,Complément alimentaire,['Diabète'],Diabète,1,0,0,1,0,0,0,0,1,0.25
VITAL HEALTHCARE FERTICARE FEMME,https://vital.com.tn/products/vital-healthcare-ferticare-femme-2/,https://vital.com.tn/wp-content/uploads/2023/10/VITAL-HEALTHCARE-FERTICARE-FEMME-.jpg,Fertilité féminine,• Favorise la régulation de l’activité hormonale • Contribue à une fertilité et à une reproduction normale • Optimise naturellement les chances de gestation ­,Sachets,30 Sachets,Complément alimentaire,Sachet,Complément alimentaire,['Fertilité féminine'],Fertilité féminine,1,1,1,1,0,0,0,0,1,3.75
Phytodraine,https://vital.com.tn/products/phytodraine-4/,https://vital.com.tn/wp-content/uploads/2017/08/phytodraine-1.png,"Cellulite, Drainage","Hyperthyroïdie, hypertension",Solution,Flacon de 250ml,Complément alimentaire,Solution,Complément alimentaire,"['Cellulite', 'Drainage']",Cellulite,2,1,1,1,0,0,0,0,1,4.0
Pédiakids Multi Vitamines Framboise,https://vital.com.tn/products/multi-vitamines-4/,https://vital.com.tn/wp-content/uploads/2021/08/multivitamines-1-1.png,Immunité,Une croissance équilibrée Optimiser les apports en vitamines et minéraux chez les jeunes enfants,Forme non spécifiée,Non spécifié,Autre,Forme non spécifiée,Autre,['Immunité'],Immunité,1,1,0,0,0,0,0,0,0,1.75
Ventre Ultra Plat,https://vital.com.tn/products/ventre-ultra-plat/,https://vital.com.tn/wp-content/uploads/2017/08/ventre-ultra-plat.png,"Coupe faim, Ventre plat",Information non disponible,Gélule,Boite de 30 gélules,Complément alimentaire,Gélule,Complément alimentaire,"['Coupe faim', 'Ventre plat']",Coupe faim,2,0,0,1,0,0,0,0,1,0.5
Rhinoplant,https://vital.com.tn/products/rhinoplant-3/,https://vital.com.tn/wp-content/uploads/2019/06/Rhinoplant-1.png,"Grippe, Rhume","- Nettoie et humidifie la muqueuse nasale - Désobstruction nasale - Solution isotonique, permet d’évacuer les agents infectieux et allergènes",Spray,Flacon de 20 ml,Complément alimentaire,Spray,Complément alimentaire,"['Grippe', 'Rhume']",Grippe,2,3,1,1,0,0,0,0,0,7.0
Pédiakids Shampoing,https://vital.com.tn/products/shampoing-3/,https://vital.com.tn/wp-content/uploads/2019/05/Shampoing.png,Cheveux,- Nettoyant - Adoucissant,Liquide,Flacon de 200 ml,Autre,Liquide,Autre,['Cheveux'],Cheveux,1,2,0,0,0,0,0,0,1,3.25
UNIDERM Anti-tache,https://vital.com.tn/products/uniderm-anti-tache/,https://vital.com.tn/wp-content/uploads/2022/10/UNIDERM-creme-anti-tache.png,Anti-tâches,- Favorise la disparition des taches et les imperfections cutanées - Effet éclaircissant de la peau - Hydrate la peau en profondeur et renouvelle les cellules,Crème,Tube de 45 g,Crème pour la peau,Crème,Crème Pour La Peau,['Anti-tâches'],Anti-tâches,1,3,1,0,0,0,0,1,0,6.75
Mincivit Lait anti vergetures,https://vital.com.tn/products/mincivit-lait-anti-vergetures/,https://vital.com.tn/wp-content/uploads/2021/08/mincicivit-vergetures.png,Vergetures,Aide à tonifier l’épiderme Aide à prévenir la formation des vergetures,Lait,Non spécifié,Autre,Lait,Autre,['Vergetures'],Vergetures,1,1,0,0,0,0,0,0,0,1.75
Ventre Plat,https://vital.com.tn/products/ventreplat/,https://vital.com.tn/wp-content/uploads/2018/08/ventre-plat.png,"Ballonnement et gaz, Digestion",- Régule le transit - Absorbe les toxines et les Gaz - Aide à retrouver un ventre dégonflé,Gélule,Boite de 30 gélules,Autre,Gélule,Autre,"['Ballonnement et gaz', 'Digestion']",Ballonnement et gaz,2,3,0,0,0,0,0,0,1,5.0
Phytofane huile d’argan,https://vital.com.tn/products/phytofane-huile-dargan/,https://vital.com.tn/wp-content/uploads/2022/07/PHYTOPHANE-huile-dargan.png,Cheveux,- Réduit le processus de chute des cheveux - Soin profond pour hydrater et réparer les cheveux secs et cassants - Redonne éclat et brillance aux cheveux,Huile,Contient 120 ml,Huile,Huile,Huile,['Cheveux'],Cheveux,1,3,1,0,0,0,0,1,0,6.75
Vitonic Tonus +,https://vital.com.tn/products/vitonic-tonus-5/,https://vital.com.tn/wp-content/uploads/2017/08/VITONIC-tonus-2.png,"Fatigue intellectuelle, Revitalisant",Information non disponible,Gélule,1 boite de 60 gélules - 30 gélules formule jour - 30 gélules formule nuit,Complément alimentaire,Gélule,Complément alimentaire,"['Fatigue intellectuelle', 'Revitalisant']",Fatigue intellectuelle,2,0,0,1,0,0,0,0,1,0.5
LV PhytoVeine Gélule,https://vital.com.tn/products/phytoveine-3/,https://vital.com.tn/wp-content/uploads/2017/08/Phytoveine.png,"Jambes lourdes, Varices",Information non disponible,Gélule,Boite de 60 gélules,Complément alimentaire,Gélule,Complément alimentaire,"['Jambes lourdes', 'Varices']",Jambes lourdes,2,0,0,1,0,0,0,0,1,0.5
LV Phytocalm,https://vital.com.tn/products/phytocalm-2/,https://vital.com.tn/wp-content/uploads/2017/08/phytocalm-gelules.png,"Anxiété, Dépression",Femme enceinte et allaitante. Troubles de la thyroïde.,Gélules / Gouttes,Boite de 30 gélules/ Flacon de 60 ml,Complément alimentaire,Gélule,Complément alimentaire,"['Anxiété', 'Dépression']",Anxiété,2,1,1,1,0,0,0,0,1,4.0
LV Lanorose,https://vital.com.tn/products/lanorose-3/,https://vital.com.tn/wp-content/uploads/2017/08/Lanorose.png,"Allaitement, Protection de l'aréole mammaire",Information non disponible,Crème pour usage externe,Tube de 35 gr,Crème pour usage externe,Crème,Crème Pour Usage Externe,"['Allaitement', ""Protection de l'aréole mammaire""]",Allaitement,2,0,0,0,0,0,0,1,0,0.5
Guarana,https://vital.com.tn/products/guarana-4/,https://vital.com.tn/wp-content/uploads/2017/08/guarana-1.png,"Brûle graisses, Fatigue",Information non disponible,Gélule,Boite de 30 gélules,Complément alimentaire,Gélule,Complément alimentaire,"['Brûle graisses', 'Fatigue']",Brûle graisses,2,0,0,1,0,0,0,0,1,0.5
Pollen d’abeilles,https://vital.com.tn/products/pollen-dabeilles/,https://vital.com.tn/wp-content/uploads/2017/08/Pollen.png,"Cheveux, Peau",Information non disponible,Gélule,Boite de 60 gélules,Complément alimentaire.,Gélule,Complément alimentaire,"['Cheveux', 'Peau']",Cheveux,2,0,0,1,0,0,0,0,1,0.5
Spiruline,https://vital.com.tn/products/spiruline-4/,https://vital.com.tn/wp-content/uploads/2017/08/Spiruline-1.png,"Revitalisant, Fatigue, Immunité",- immunostimulant - Fortifiant et nutritif - Fortifiant phanère,Gélule,Boite de 60 gélules,Complément alimentaire,Gélule,Complément alimentaire,"['Revitalisant', 'Fatigue', 'Immunité']",Revitalisant,3,3,1,1,0,0,0,0,1,7.25
Pédiakids APITOU N°2 Sans Sucre,https://vital.com.tn/products/pediakids-apitou-n2-sans-sucre/,https://vital.com.tn/wp-content/uploads/2025/02/Pediakids-APITOU-2-sans-sucre.png,"Soulage, Toux, Toux sèche",- Soulager la toux sèche chez les enfants - Calmer les voies respiratoires,Sirop,150 ML,Complément alimentaire,Sirop,Complément alimentaire,"['Soulage', 'Toux', 'Toux sèche']",Soulage,3,2,1,1,0,0,0,0,1,5.75
VASELINE Urée 10%,https://vital.com.tn/products/vaseline-uree-10/,https://vital.com.tn/wp-content/uploads/2024/07/vaseline-uree-10.jpg,"Hydratation, Peau, Réparatrice",• Hydratante • Réparatrice,Crème,35gr,Soin,Crème,Soin,"['Hydratation', 'Peau', 'Réparatrice']",Hydratation,3,1,1,0,0,0,1,1,0,4.25
Dermacné ( crème ),https://vital.com.tn/products/dermacne-creme/,https://vital.com.tn/wp-content/uploads/2021/09/2.png,Peau,Purifier et hydrater la peau en profondeur Réduire les imperfections cutanées Soigner la peau acnéique,Forme non spécifiée,Non spécifié,Autre,Forme non spécifiée,Autre,['Peau'],Peau,1,1,0,0,0,0,0,0,0,1.75
Plantexil Gélule,https://vital.com.tn/products/plantexil-gelule/,https://vital.com.tn/wp-content/uploads/2017/08/Plantexil.png,"Immunité, Toux sèche",Information non disponible,Gélule,Boite de 15 gélules,Autre,Gélule,Autre,"['Immunité', 'Toux sèche']",Immunité,2,0,0,0,0,0,0,0,1,0.5
LV Mélatonuit,https://vital.com.tn/products/melatonuit/,https://vital.com.tn/wp-content/uploads/2017/08/Melatonuit.png,Troubles de sommeil,Femme enceinte ou allaitante,Gélules,Boite de 30 gélules,complément alimentaire,Gélule,Complément alimentaire,['Troubles de sommeil'],Troubles de sommeil,1,1,1,1,0,0,0,0,1,3.75
MULTIBON APIGORGE,https://vital.com.tn/products/multibon-apigorge/,https://vital.com.tn/wp-content/uploads/2022/07/MULTIBON-apigorge.png,Maux de gorge,- Réduit l’inflammation et la douleur au niveau de la gorge - Change l’haleine,Gummies,Boite de 30 gummies,Complément alimentaire,Gummies,Complément alimentaire,['Maux de gorge'],Maux de gorge,1,2,1,1,0,0,0,0,0,5.25
VITONIC Grossesse,https://vital.com.tn/products/vitonic-grossesse-4/,https://vital.com.tn/wp-content/uploads/2023/10/VITONIC-grossesse-15.png,Grossesse,• Supplémentation complète pour la femme enceinte selon les recommandations de l’OMS,Gélules,15 Gélules,Complément alimentaire,Gélule,Complément alimentaire,['Grossesse'],Grossesse,1,1,1,1,0,0,0,0,1,3.75
Oligovit magnésium,https://vital.com.tn/products/oligovit-magnesium-2/,https://vital.com.tn/wp-content/uploads/2022/07/Oligovit-Magnesium.png,"Anti-stress, Fatigue",- Réduire la fatigue - Soutenir le fonctionnement normal des muscles et du système nerveux,Gélule,Boite de 30 gélules,Complément alimentaire,Gélule,Complément alimentaire,"['Anti-stress', 'Fatigue']",Anti-stress,2,2,1,1,0,0,0,0,1,5.5
Plantex vitamine C,https://vital.com.tn/products/plantex-vitamine-c/,https://vital.com.tn/wp-content/uploads/2022/07/Plantex-Vitamine-C.png,"Immunité, Energie, Fatigue",- Contribue à renforcer les défenses immunitaires - Améliore le métabolisme énergétique - Aide à résister au stresse et à la fatigue - Protège des virus ambiants,Sachets,Boite de 12 sachets,Complément alimentaire,Sachet,Complément alimentaire,"['Immunité', 'Energie', 'Fatigue']",Immunité,3,4,1,1,0,0,0,0,1,8.75
HYDRA GEL Nettoyant visage Peau Sèche,https://vital.com.tn/products/hydra-gel-nettoyant-visage-peau-seche-2/,https://vital.com.tn/wp-content/uploads/2023/10/HYDRA-GEL-Nettoyant-visage-Peau-Seche.jpg,"Hydrate, nettoie, Peau, Purifie",• Nettoie • Purifie • Hydrate,Gel,230 ML,Nettoyant visage,Gel,Nettoyant Visage,"['Hydrate', 'nettoie', 'Peau', 'Purifie']",Hydrate,4,1,1,0,0,0,0,1,0,4.5
Pédiakids Calcium & Vit. D3,https://vital.com.tn/products/calcium-vit-d3/,https://vital.com.tn/wp-content/uploads/2017/08/Calcium.png,Ossature,Information non disponible,Sirop,Flacon de 150 ml,Complément alimentaire,Sirop,Complément alimentaire,['Ossature'],Ossature,1,0,0,1,0,0,0,0,1,0.25
Plantyl Sirop,https://vital.com.tn/products/plantyl-sirop/,https://vital.com.tn/wp-content/uploads/2019/06/Plantyl-Syrop.png,"Grippe, Immunité",- Renforce l’immunité et améliore le confort des voies respiratoires supérieures,sirop,Sirop 150 ml,Autre,Sirop,Autre,"['Grippe', 'Immunité']",Grippe,2,1,0,0,0,0,0,0,1,2.0
Minciligne Vitaminé,https://vital.com.tn/products/minciligne-vitamine-2-2/,https://vital.com.tn/wp-content/uploads/2018/08/minciligne-vitamine.png,"Brûle graisses, Coupe faim",- Coupe faim - Obésité - Adjuvant de régime.,Solution buvable,20 Sachets de 10 ml,Complément alimentaire,Solution,Complément alimentaire,"['Brûle graisses', 'Coupe faim']",Brûle graisses,2,3,1,1,0,0,0,0,1,7.0
HYDRA GEL Nettoyant visage Peau Grasse,https://vital.com.tn/products/hydra-gel-nettoyant-visage-peau-grasse-2/,https://vital.com.tn/wp-content/uploads/2023/10/HYDRA-GEL-Nettoyant-visage-Peau-Grasse.jpg,"Matifie, nettoie, Peau, Purifie",• Nettoie • Purifie • Matifie,Gel,230 ML,Nettoyant visage,Gel,Nettoyant Visage,"['Matifie', 'nettoie', 'Peau', 'Purifie']",Matifie,4,1,1,0,0,0,0,1,0,4.5
HYDRASCREEN after sun,https://vital.com.tn/products/hydrascreen-after-sun-2/,https://vital.com.tn/wp-content/uploads/2022/07/Hydrascreen-after-sun.png,"Peau, Protection solaire",- Atténue les effets dus aux agressions lors de l’exposition au soleil - Calme les irritations des peaux sensibles et réactives grâce à ses propriétés apaisantes - Anti-inflammatoires et antimicrobiennes,Forme non spécifiée,Non spécifié,Autre,Forme non spécifiée,Autre,"['Peau', 'Protection solaire']",Peau,2,3,0,0,0,0,0,0,0,5.0
Vitosine Eosine Alcoolisée 2%,https://vital.com.tn/products/vitosine-eosine-alcoolisee-2/,https://vital.com.tn/wp-content/uploads/2024/12/VITOSINE-EOSINE.png,"Anti septique, Eosine, Peau",• Traitement d’appoint pour les affections de la peau. • Antiseptique et asséchant de la peau,Spray,30ml,Soin,Spray,Soin,"['Anti septique', 'Eosine', 'Peau']",Anti septique,3,1,1,0,0,0,1,0,0,4.25
Grossivit vitaminé Sirop bébé et enfant,https://vital.com.tn/products/grossivit-vitamine-sirop-bebe-et-enfant/,https://vital.com.tn/wp-content/uploads/2017/08/grossivit-plus-sirop.png,"Appétit, Prise de poids, Revitalisant",Information non disponible,Sirop,Flacon de 150 ml,Autre,Sirop,Autre,"['Appétit', 'Prise de poids', 'Revitalisant']",Appétit,3,0,0,0,0,0,0,0,1,0.75
Aide minceur,https://vital.com.tn/products/aide-minceur-6/,https://vital.com.tn/wp-content/uploads/2017/08/Aide-minceur-2.png,"Coupe faim, Digestion",Glucomannane,Gélule,Boite de 30 gélules,Complément alimentaire,Gélule,Complément alimentaire,"['Coupe faim', 'Digestion']",Coupe faim,2,1,1,1,0,0,0,0,1,4.0
Vitonic Trio Grossesse,https://vital.com.tn/products/vitonic-trio-grossesse/,https://vital.com.tn/wp-content/uploads/2021/12/Vitonic-Trio.png,Immunité,- Contribue au fonctionnement normal du système immunitaire - Aide à protéger et à renforcer la barrière intestinale - Contribue à un métabolisme énergétique normal et à réduire la fatigue - Aide à protéger les cellules contre le stress oxydatif,Gélule,Boite de 30 gélules,complément alimentaire,Gélule,Complément alimentaire,['Immunité'],Immunité,1,4,1,1,0,0,0,0,1,8.25
MINCILGNE Coupe faim,https://vital.com.tn/products/mincilgne-coupe-faim/,https://vital.com.tn/wp-content/uploads/2018/08/minci-ligne-coupe-fin.png,Coupe faim,Sensation de satiété Piège pour sucres et graisses Digestion facile,Gélules,Boite de 30 Gélules,Complément alimentaire,Gélule,Complément alimentaire,['Coupe faim'],Coupe faim,1,1,1,1,0,0,0,0,1,3.75
HYDRAVERA,https://vital.com.tn/products/hydravera/,https://vital.com.tn/wp-content/uploads/2021/08/2.png,Peau,Stimule le renouvellement cellulaire Facilite le processus de réparation de la peau Réduit les imperfections cutanées et laisse la peau douce et éclatantE,Forme non spécifiée,Non spécifié,Autre,Forme non spécifiée,Autre,['Peau'],Peau,1,1,0,0,0,0,0,0,0,1.75
Pédiakids Apigrip Sans Sucre,https://vital.com.tn/products/pediakids-apigrip-sans-sucre-2/,https://vital.com.tn/wp-content/uploads/2025/02/Pediakids-APIGRIP-sans-sucre.png,"Grippe, Rhume, Soulage","- Anti-grippal - Réduit les signes inflammatoires du rhume - Traitement curatif et préventif, pour soulager le nez et la gorge",Sirop,150 ML,Complément alimentaire,Sirop,Complément alimentaire,"['Grippe', 'Rhume', 'Soulage']",Grippe,3,3,1,1,0,0,0,0,1,7.25
Planthiol Gélule,https://vital.com.tn/products/planthiol-gelule/,https://vital.com.tn/wp-content/uploads/2017/08/Planthiol.png,"Immunité, Toux grasse",Information non disponible,Gélule,Boite de 15 gélules,Complément alimentaire,Gélule,Complément alimentaire,"['Immunité', 'Toux grasse']",Immunité,2,0,0,1,0,0,0,0,1,0.5
VITAL HEALTHCARE SKINCARE Anti-âge intensif,https://vital.com.tn/products/vital-healthcare-skincare-anti-age-intensif-2/,https://vital.com.tn/wp-content/uploads/2023/10/VITAL-HEALTHCARE-SKINCARE-Anti-age-intensif.jpg,"Anti-âge, Beauté & éclat de la peau",• Beauté & éclat de la peau,Capsules moles et gélules,Non spécifié,Complément alimentaire,Gélule,Complément alimentaire,"['Anti-âge', 'Beauté & éclat de la peau']",Anti-âge,2,1,1,1,0,0,0,0,1,4.0
Mincicare,https://vital.com.tn/products/mincicare-3/,https://vital.com.tn/wp-content/uploads/2020/09/Mincicare-1.png,"Drainage, Détox",- Draineur : facilite la perte du poids et stimule l’élimination urinaire des déchets et toxines - Brûleur de graisses : (Omega 3 - CLA) ayant des propriétés amincissantes aide à débarrasser l’organisme des graisses stockées,Capsules moles et gélules,Non spécifié,complément alimentaire,Gélule,Complément alimentaire,"['Drainage', 'Détox']",Drainage,2,3,1,1,0,0,0,0,1,7.0
SWEET slim coupe faim,https://vital.com.tn/products/sweet-slim-coupe-faim/,https://vital.com.tn/wp-content/uploads/2022/07/SWEETslim-coupe-faim.png,"Coupe faim, Elimination des graisses",- Procure une sensation de satiété - Limite les grignotage - Réduit l’absorption des graisses et de sucre,Gummies,Boite de 30 gummies,Complément alimentaire,Gummies,Complément alimentaire,"['Coupe faim', 'Elimination des graisses']",Coupe faim,2,3,1,1,0,0,0,0,0,7.0
CALMO dent,https://vital.com.tn/products/calmo-dent/,https://vital.com.tn/wp-content/uploads/2018/08/calmo-dent.png,Douleur dentaire,- Soulage le mal des dents,Baume Dentaire,Tube de 4gr,Complément alimentaire,Baume Dentaire,Complément alimentaire,['Douleur dentaire'],Douleur dentaire,1,1,1,1,0,0,0,0,0,3.75
Uniderme atténue les taches,https://vital.com.tn/products/uniderme-attenue-les-taches/,https://vital.com.tn/wp-content/uploads/2020/09/Uniderme-Taches.png,Peau,Anti-tâches Eclaircissant,Savon,Non spécifié,Savon,Savon,Savon,['Peau'],Peau,1,1,1,0,0,0,0,0,0,3.75
Pédiakids Spray Nasal,https://vital.com.tn/products/spray-nasal/,https://vital.com.tn/wp-content/uploads/2018/08/Spray-nasal.png,Rhume,- Nettoie et humidifie la muqueuse nasale - Désobstruction nasale - Solution isotonique - Evacue les agents infectieux et allergènes,Liquide,Flacon de 20 ml,Complément alimentaire,Liquide,Complément alimentaire,['Rhume'],Rhume,1,4,1,1,0,0,0,0,1,8.25
HYDRAscreen Lait solaire,https://vital.com.tn/products/hydrascreen-lait-solaire-2/,https://vital.com.tn/wp-content/uploads/2023/10/HYDRAscreen-Lait-solaire.jpg,"Apaise, Hydratation, Hydrate, Protection solaire",• Protège • Apaise • Hydrate,Lait,90 ML,Lait Solaire,Lait,Lait Solaire,"['Apaise', 'Hydratation', 'Hydrate', 'Protection solaire']",Apaise,4,1,1,0,0,0,0,0,0,4.5
Pédiakids vitamine D3,https://vital.com.tn/products/pediakids-vitamine-d3/,https://vital.com.tn/wp-content/uploads/2020/09/Vitamine-D3.png,"Immunité, Carence en Vit D","Allergie connue à la vitamine D3, hypercalcémie, hyper-calciurie, lithiase calcique",Gouttes buvables (1060 gouttes / 35 ml),Flacon de 35 ml,Complément alimentaire,Gouttes,Complément alimentaire,"['Immunité', 'Carence en Vit D']",Immunité,2,1,1,1,0,0,0,0,1,4.0
Mémoire et Concentration,https://vital.com.tn/products/memoire-et-concentration-4/,https://vital.com.tn/wp-content/uploads/2017/08/memoire-et-concentration-1.png,"Concentration, Mémoire",Information non disponible,Gélule,Boite de 30 gélules,Complément alimentaire,Gélule,Complément alimentaire,"['Concentration', 'Mémoire']",Concentration,2,0,0,1,0,0,0,0,1,0.5
LV SESA Gel 45gr,https://vital.com.tn/products/lv-sesa-gel-45gr/,https://vital.com.tn/wp-content/uploads/2023/10/Sesa-Gel-45gr-1.jpg,Cicatrices,#NAME?,Gel,Non spécifié,Autre,Gel,Autre,['Cicatrices'],Cicatrices,1,1,0,0,0,0,0,1,0,1.75
LV Normaprost,https://vital.com.tn/products/normaprost/,https://vital.com.tn/wp-content/uploads/2017/08/Normaprost.png,Prostate,Information non disponible,Gélule,Boite de 60 gélules,Complément alimentaire,Gélule,Complément alimentaire,['Prostate'],Prostate,1,0,0,1,0,0,0,0,1,0.25
HYDRAscreen Huile solaire Pailletée,https://vital.com.tn/products/hydrascreen-huile-solaire-pailletee-2/,https://vital.com.tn/wp-content/uploads/2023/10/HYDRAscreen-Huile-solaire-Pailletee.jpg,"Hydratation, Hydrate, Protection solaire",• Protection • Hydratation • Effet scintillant,Huile,120 ML,Huile solaire,Huile,Huile Solaire,"['Hydratation', 'Hydrate', 'Protection solaire']",Hydratation,3,1,1,0,0,0,0,1,0,4.25
Minciligne Draineur,https://vital.com.tn/products/minciligne-draineur-2/,https://vital.com.tn/wp-content/uploads/2018/08/minciligne-draineur.png,"Coupe faim, Détox, Drainage",- Détoxification du foie - Favorise l’élimination rénale - Stimule la combustion des graisses,Gélule,Boite de 30 Gélules,Complément alimentaire,Gélule,Complément alimentaire,"['Coupe faim', 'Détox', 'Drainage']",Coupe faim,3,3,1,1,0,0,0,0,1,7.25
Dermacne,https://vital.com.tn/products/dermacne-3/,https://vital.com.tn/wp-content/uploads/2019/06/Dermacne-1.png,"Acné, Antiseptique",Soin des peaux acnéiques,Savon,Savon de 90 gr,Savon,Savon,Savon,"['Acné', 'Antiseptique']",Acné,2,1,1,0,0,0,0,0,0,4.0
FONGIDERM Antifongique Cheveux & corps,https://vital.com.tn/products/fongiderm-antifongique-cheveux-corps/,https://vital.com.tn/wp-content/uploads/2024/07/Fongiderm-Antifongique.jpg,"Antifongique, Cheveux, nettoie, Peau",• Nettoie efficacement tout en prenant soin de votre peau et de vos cheveux • Lutte contre les atteintes fongiques. • Préserve l’intégrité du cuir chevelu et des cheveux,Gel,200ML,Soin,Gel,Soin,"['Antifongique', 'Cheveux', 'nettoie', 'Peau']",Antifongique,4,1,1,0,0,0,1,1,0,4.5
TC 2000 Gel,https://vital.com.tn/products/tc-2000-gel/,https://vital.com.tn/wp-content/uploads/2017/08/tc2000-gel.jpg,"Anti-tâches, Exfoliant","Inhibe la synthèse de la mélanine, Exfoliant, Antiradicalaire",Gel,Gel de 30 ml,Autre,Gel,Autre,"['Anti-tâches', 'Exfoliant']",Anti-tâches,2,1,0,0,0,0,0,1,0,2.0
