conversation_id,rep_id,client_id,date,month,month_name,product,objection_type,objection_difficulty,response_quality,quality_label,overall_score,context_weighted_score,objection_handling_score,client_sentiment,sentiment_label,outcome,is_success,is_success_broad,skill_level,argumentation_richness,duration_minutes,duration_category,year
CONV00060,REP024,CLI0105,2025-10-12,10,October,PHYTOFANE Lotion anti chute,Efficacité douteuse,Standard,Bon,1,6.9,6.74,6.0,Neutre,0,Intérêt Modéré,0,1,Confirmé,1,6.73,Standard (6-10 min),2025
CONV00290,REP018,CLI0201,2025-10-13,10,October,LV CYSPROTECT,Effets Secondaires,Standard,Faible,0,3.7,3.51,2.5,Neutre,0,Objections non résolues,0,0,À améliorer,0,4.93,Courte (3-6 min),2025
CONV00388,REP008,CLI0195,2025-10-13,10,October,LV Vitamine A,Effets Secondaires,Standard,Excellent,2,8.4,8.38,8.4,Positif,1,Intérêt Fort,1,1,Expert,1,3.97,Courte (3-6 min),2025
CONV00049,REP009,CLI0112,2025-10-13,10,October,PHYTOFANE Lotion anti chute,Marque inconnue,Difficile,Bon,1,7.1,6.98,6.4,Neutre,0,À rappeler,0,0,Confirmé,0,2.23,Très courte (<3 min),2025
CONV00086,REP021,CLI0184,2025-10-13,10,October,OLIGOVIT Trio,Posologie complexe,Difficile,Bon,1,6.7,6.63,6.4,Neutre,0,À rappeler,0,0,Confirmé,0,9.43,Standard (6-10 min),2025
CONV00391,REP016,CLI0203,2025-10-14,10,October,OLIGOVIT Trio,Effets Secondaires,Standard,Bon,1,6.2,6.02,5.3,Positif,1,Intérêt Modéré,0,1,Confirmé,0,9.57,Standard (6-10 min),2025
CONV00113,REP005,CLI0169,2025-10-14,10,October,PHYTOFANE Lotion anti chute,Efficacité douteuse,Standard,Faible,0,3.7,3.47,2.3,Négatif,-1,Objections non résolues,0,0,À améliorer,0,3.9,Courte (3-6 min),2025
CONV00333,REP013,CLI0110,2025-10-15,10,October,"Echinacée, Zinc, Vit.C",Posologie complexe,Difficile,Excellent,2,9.5,9.58,9.9,Neutre,0,Intérêt Fort,1,1,Expert,1,5.27,Courte (3-6 min),2025
CONV00160,REP013,CLI0184,2025-10-15,10,October,Omevie Omega 3 – 1000,Efficacité douteuse,Standard,Bon,1,6.4,6.22,5.3,Négatif,-1,À rappeler,0,0,Confirmé,1,6.48,Standard (6-10 min),2025
CONV00185,REP014,CLI0168,2025-10-16,10,October,Vitonic Tonus,Prix élevé,Standard,Bon,1,6.6,6.38,5.6,Neutre,0,Intérêt Modéré,0,1,Confirmé,0,6.07,Standard (6-10 min),2025
CONV00129,REP011,CLI0155,2025-10-16,10,October,PHYTOFANE Lotion anti chute,Marque inconnue,Difficile,Excellent,2,8.7,8.9,9.8,Neutre,0,Intérêt Fort,1,1,Expert,2,6.27,Standard (6-10 min),2025
CONV00083,REP002,CLI0082,2025-10-16,10,October,"Echinacée, Zinc, Vit.C",Stock suffisant,Difficile,Faible,0,4.8,4.8,4.4,Neutre,0,Refus,0,0,À améliorer,0,8.02,Standard (6-10 min),2025
CONV00034,REP002,CLI0220,2025-10-17,10,October,"Echinacée, Zinc, Vit.C",Efficacité douteuse,Standard,Excellent,2,9.4,9.38,9.6,Neutre,0,Commande,1,1,Expert,2,3.88,Courte (3-6 min),2025
CONV00291,REP002,CLI0208,2025-10-17,10,October,Omevie Omega 3 – 1000,Prix élevé,Standard,Bon,1,6.3,6.14,5.3,Neutre,0,Intérêt Modéré,0,1,Confirmé,0,6.52,Standard (6-10 min),2025
CONV00328,REP010,CLI0025,2025-10-17,10,October,Vitonic Tonus,Concurrence,Standard,Bon,1,7.1,7.06,6.8,Négatif,-1,Demande info,0,1,Confirmé,0,3.08,Courte (3-6 min),2025
CONV00142,REP025,CLI0181,2025-10-17,10,October,Vitonic Tonus,Marque inconnue,Difficile,Bon,1,6.4,6.18,5.4,Négatif,-1,Intérêt Modéré,0,1,Confirmé,0,5.82,Courte (3-6 min),2025
CONV00275,REP013,CLI0018,2025-10-18,10,October,LV Vitamine A,Stock suffisant,Difficile,Excellent,2,9.2,9.13,9.1,Positif,1,Commande,1,1,Expert,1,9.38,Standard (6-10 min),2025
CONV00380,REP025,CLI0141,2025-10-19,10,October,LV Vitamine A,Concurrence,Standard,Bon,1,6.0,5.82,5.2,Négatif,-1,Demande info,0,1,Confirmé,0,7.5,Standard (6-10 min),2025
CONV00247,REP006,CLI0200,2025-10-20,10,October,Omevie Omega 3 – 1000,Stock suffisant,Difficile,Bon,1,6.6,6.35,5.2,Positif,1,Intérêt Modéré,0,1,Confirmé,0,6.82,Standard (6-10 min),2025
CONV00331,REP014,CLI0146,2025-10-20,10,October,OLIGOVIT Trio,Stock suffisant,Difficile,Bon,1,7.0,6.83,6.0,Neutre,0,Demande info,0,1,Confirmé,0,3.22,Courte (3-6 min),2025
CONV00242,REP012,CLI0091,2025-10-20,10,October,LV Fersang junior,Posologie complexe,Difficile,Excellent,2,9.6,9.62,9.8,Neutre,0,Rendez-vous futur,1,1,Expert,1,7.27,Standard (6-10 min),2025
CONV00241,REP011,CLI0051,2025-10-20,10,October,OLIGOVIT Trio,Concurrence,Standard,Excellent,2,9.4,9.34,9.3,Négatif,-1,Rendez-vous futur,1,1,Expert,1,2.97,Très courte (<3 min),2025
CONV00356,REP013,CLI0056,2025-10-20,10,October,LV Fersang junior,Stock suffisant,Difficile,Bon,1,6.5,6.32,5.8,Neutre,0,Demande info,0,1,Confirmé,0,9.03,Standard (6-10 min),2025
CONV00148,REP023,CLI0199,2025-10-20,10,October,LV Fersang junior,Concurrence,Standard,Excellent,2,8.2,8.19,8.1,Négatif,-1,Intérêt Fort,1,1,Expert,1,2.3,Très courte (<3 min),2025
CONV00022,REP009,CLI0201,2025-10-21,10,October,"Echinacée, Zinc, Vit.C",Prix élevé,Standard,Bon,1,7.3,7.12,6.1,Positif,1,Demande info,0,1,Confirmé,0,4.43,Courte (3-6 min),2025
CONV00058,REP003,CLI0072,2025-10-22,10,October,PHYTOFANE Lotion anti chute,Effets Secondaires,Standard,Bon,1,6.7,6.53,5.7,Positif,1,À rappeler,0,0,Confirmé,0,4.07,Courte (3-6 min),2025
CONV00140,REP003,CLI0057,2025-10-22,10,October,"Echinacée, Zinc, Vit.C",Concurrence,Standard,Bon,1,6.1,6.06,6.0,Négatif,-1,Intérêt Modéré,0,1,Confirmé,0,9.53,Standard (6-10 min),2025
CONV00320,REP016,CLI0153,2025-10-23,10,October,OLIGOVIT Trio,Stock suffisant,Difficile,Faible,0,4.0,3.86,3.0,Neutre,0,Objections non résolues,0,0,À améliorer,0,3.5,Courte (3-6 min),2025
CONV00137,REP025,CLI0192,2025-10-23,10,October,Omevie Omega 3 – 1000,Marque inconnue,Difficile,Bon,1,6.7,6.58,5.9,Négatif,-1,Intérêt Modéré,0,1,Confirmé,0,3.98,Courte (3-6 min),2025
CONV00152,REP006,CLI0177,2025-10-24,10,October,"Echinacée, Zinc, Vit.C",Marque inconnue,Difficile,Bon,1,7.2,7.0,6.2,Négatif,-1,À rappeler,0,0,Confirmé,0,4.98,Courte (3-6 min),2025
CONV00246,REP014,CLI0182,2025-10-24,10,October,LV CYSPROTECT,Posologie complexe,Difficile,Excellent,2,9.0,8.93,8.4,Positif,1,Commande,1,1,Expert,1,6.17,Standard (6-10 min),2025
CONV00248,REP025,CLI0185,2025-10-25,10,October,LV Vitamine A,Effets Secondaires,Standard,Excellent,2,9.2,9.26,9.3,Positif,1,Commande,1,1,Expert,1,6.65,Standard (6-10 min),2025
CONV00178,REP007,CLI0005,2025-10-25,10,October,LV Fersang junior,Prix élevé,Standard,Bon,1,6.4,6.32,6.0,Positif,1,Demande info,0,1,Confirmé,0,4.67,Courte (3-6 min),2025
CONV00130,REP008,CLI0182,2025-10-25,10,October,LV Vitamine A,Concurrence,Standard,Bon,1,6.9,6.87,6.8,Négatif,-1,À rappeler,0,0,Confirmé,0,5.73,Courte (3-6 min),2025
CONV00150,REP013,CLI0191,2025-10-25,10,October,"Echinacée, Zinc, Vit.C",Effets Secondaires,Standard,Faible,0,3.9,3.92,4.1,Positif,1,Objections non résolues,0,0,À améliorer,0,9.63,Standard (6-10 min),2025
CONV00121,REP024,CLI0011,2025-10-26,10,October,"Echinacée, Zinc, Vit.C",Efficacité douteuse,Standard,Bon,1,6.2,6.18,5.9,Négatif,-1,À rappeler,0,0,Confirmé,1,2.15,Très courte (<3 min),2025
CONV00037,REP009,CLI0012,2025-10-26,10,October,PHYTOFANE Lotion anti chute,Posologie complexe,Difficile,Bon,1,7.3,7.22,6.9,Neutre,0,Demande info,0,1,Confirmé,0,2.0,Très courte (<3 min),2025
CONV00088,REP012,CLI0096,2025-10-27,10,October,Omevie Omega 3 – 1000,Prix élevé,Standard,Excellent,2,8.9,8.8,8.4,Neutre,0,Commande,1,1,Expert,2,3.23,Courte (3-6 min),2025
CONV00235,REP025,CLI0085,2025-10-27,10,October,"Echinacée, Zinc, Vit.C",Prix élevé,Standard,Excellent,2,8.8,8.88,9.0,Neutre,0,Rendez-vous futur,1,1,Expert,2,2.9,Très courte (<3 min),2025
CONV00120,REP016,CLI0192,2025-10-27,10,October,LV Vitamine A,Efficacité douteuse,Standard,Excellent,2,8.9,8.92,9.1,Positif,1,Rendez-vous futur,1,1,Expert,2,3.48,Courte (3-6 min),2025
CONV00240,REP015,CLI0152,2025-10-28,10,October,PHYTOFANE Lotion anti chute,Prix élevé,Standard,Excellent,2,8.8,8.91,9.4,Neutre,0,Commande,1,1,Expert,2,5.32,Courte (3-6 min),2025
CONV00399,REP023,CLI0136,2025-10-28,10,October,LV Vitamine A,Effets Secondaires,Standard,Faible,0,4.3,4.08,3.1,Neutre,0,Refus,0,0,À améliorer,0,3.95,Courte (3-6 min),2025
CONV00239,REP011,CLI0144,2025-10-28,10,October,Vitonic Tonus,Concurrence,Standard,Excellent,2,8.8,8.91,9.3,Négatif,-1,Intérêt Fort,1,1,Expert,1,5.93,Courte (3-6 min),2025
CONV00047,REP003,CLI0107,2025-11-02,11,November,PHYTOFANE Lotion anti chute,Concurrence,Standard,Bon,1,6.3,6.23,5.8,Neutre,0,Demande info,0,1,Confirmé,0,4.82,Courte (3-6 min),2025
CONV00197,REP002,CLI0074,2025-11-02,11,November,LV CYSPROTECT,Efficacité douteuse,Standard,Bon,1,7.3,7.11,6.3,Positif,1,À rappeler,0,0,Confirmé,1,3.53,Courte (3-6 min),2025
CONV00318,REP023,CLI0130,2025-11-03,11,November,Omevie Omega 3 – 1000,Efficacité douteuse,Standard,Bon,1,6.5,6.26,5.3,Neutre,0,Intérêt Modéré,0,1,Confirmé,1,3.15,Courte (3-6 min),2025
CONV00076,REP011,CLI0030,2025-11-03,11,November,Omevie Omega 3 – 1000,Effets Secondaires,Standard,Bon,1,7.1,6.94,6.1,Neutre,0,À rappeler,0,0,Confirmé,0,9.37,Standard (6-10 min),2025
CONV00369,REP018,CLI0138,2025-11-03,11,November,"Echinacée, Zinc, Vit.C",Concurrence,Standard,Bon,1,6.9,6.7,5.7,Neutre,0,À rappeler,0,0,Confirmé,0,2.78,Très courte (<3 min),2025
CONV00153,REP022,CLI0164,2025-11-03,11,November,LV Fersang junior,Prix élevé,Standard,Bon,1,6.3,6.06,5.1,Positif,1,Demande info,0,1,Confirmé,0,5.1,Courte (3-6 min),2025
CONV00107,REP002,CLI0123,2025-11-04,11,November,LV Vitamine A,Marque inconnue,Difficile,Bon,1,6.6,6.38,5.1,Négatif,-1,Intérêt Modéré,0,1,Confirmé,0,5.63,Courte (3-6 min),2025
CONV00296,REP023,CLI0170,2025-11-05,11,November,OLIGOVIT Trio,Efficacité douteuse,Standard,Excellent,2,8.4,8.38,8.3,Négatif,-1,Intérêt Fort,1,1,Expert,2,7.0,Standard (6-10 min),2025
CONV00231,REP013,CLI0072,2025-11-06,11,November,OLIGOVIT Trio,Stock suffisant,Difficile,Excellent,2,9.1,9.13,9.1,Neutre,0,Rendez-vous futur,1,1,Expert,1,5.1,Courte (3-6 min),2025
CONV00080,REP018,CLI0038,2025-11-08,11,November,LV CYSPROTECT,Stock suffisant,Difficile,Faible,0,4.9,4.88,4.6,Positif,1,Objections non résolues,0,0,À améliorer,0,3.62,Courte (3-6 min),2025
CONV00260,REP003,CLI0059,2025-11-08,11,November,LV CYSPROTECT,Concurrence,Standard,Bon,1,6.5,6.59,6.8,Négatif,-1,Intérêt Modéré,0,1,Confirmé,0,2.75,Très courte (<3 min),2025
CONV00314,REP014,CLI0068,2025-11-08,11,November,OLIGOVIT Trio,Demande Faible,Standard,Bon,1,6.3,6.15,5.6,Négatif,-1,Intérêt Modéré,0,1,Confirmé,0,7.58,Standard (6-10 min),2025
CONV00007,REP006,CLI0119,2025-11-09,11,November,PHYTOFANE Lotion anti chute,Concurrence,Standard,Faible,0,4.6,4.48,4.1,Neutre,0,Pas intéressé,0,0,À améliorer,0,4.3,Courte (3-6 min),2025
CONV00138,REP025,CLI0073,2025-11-09,11,November,LV CYSPROTECT,Marque inconnue,Difficile,Bon,1,7.4,7.22,6.6,Négatif,-1,Intérêt Modéré,0,1,Confirmé,0,6.28,Standard (6-10 min),2025
CONV00253,REP021,CLI0107,2025-11-10,11,November,Omevie Omega 3 – 1000,Concurrence,Standard,Excellent,2,9.3,9.21,8.8,Négatif,-1,Rendez-vous futur,1,1,Expert,1,5.85,Courte (3-6 min),2025
CONV00323,REP014,CLI0230,2025-11-10,11,November,Omevie Omega 3 – 1000,Demande Faible,Standard,Bon,1,6.6,6.58,6.4,Négatif,-1,Demande info,0,1,Confirmé,0,9.27,Standard (6-10 min),2025
CONV00016,REP022,CLI0167,2025-11-11,11,November,"Echinacée, Zinc, Vit.C",Demande Faible,Standard,Faible,0,3.4,3.2,2.2,Neutre,0,Pas intéressé,0,0,À améliorer,0,5.73,Courte (3-6 min),2025
CONV00324,REP017,CLI0170,2025-11-11,11,November,LV Vitamine A,Efficacité douteuse,Standard,Bon,1,6.3,6.12,5.2,Positif,1,Intérêt Modéré,0,1,Confirmé,1,6.78,Standard (6-10 min),2025
CONV00279,REP023,CLI0230,2025-11-11,11,November,"Echinacée, Zinc, Vit.C",Stock suffisant,Difficile,Faible,0,3.0,2.9,2.4,Neutre,0,Objections non résolues,0,0,À améliorer,0,5.9,Courte (3-6 min),2025
CONV00167,REP005,CLI0195,2025-11-12,11,November,"Echinacée, Zinc, Vit.C",Effets Secondaires,Standard,Bon,1,6.3,6.2,5.5,Neutre,0,Intérêt Modéré,0,1,Confirmé,0,6.38,Standard (6-10 min),2025
CONV00101,REP002,CLI0177,2025-11-12,11,November,Omevie Omega 3 – 1000,Posologie complexe,Difficile,Bon,1,6.9,6.62,5.2,Positif,1,Demande info,0,1,Confirmé,0,3.85,Courte (3-6 min),2025
CONV00382,REP019,CLI0146,2025-11-13,11,November,Vitonic Tonus,Demande Faible,Standard,Bon,1,6.1,6.0,5.5,Négatif,-1,Intérêt Modéré,0,1,Confirmé,0,8.88,Standard (6-10 min),2025
CONV00354,REP023,CLI0169,2025-11-13,11,November,LV CYSPROTECT,Effets Secondaires,Standard,Bon,1,6.2,5.99,5.0,Positif,1,À rappeler,0,0,Confirmé,0,8.1,Standard (6-10 min),2025
CONV00390,REP021,CLI0097,2025-11-13,11,November,"Echinacée, Zinc, Vit.C",Concurrence,Standard,Bon,1,6.8,6.64,5.8,Négatif,-1,Intérêt Modéré,0,1,Confirmé,0,7.0,Standard (6-10 min),2025
CONV00006,REP021,CLI0214,2025-11-13,11,November,LV CYSPROTECT,Demande Faible,Standard,Bon,1,6.6,6.66,6.9,Neutre,0,Demande info,0,1,Confirmé,0,3.38,Courte (3-6 min),2025
CONV00319,REP015,CLI0013,2025-11-14,11,November,LV Vitamine A,Stock suffisant,Difficile,Excellent,2,8.8,8.8,8.8,Neutre,0,Commande,1,1,Expert,1,8.0,Standard (6-10 min),2025
CONV00392,REP006,CLI0041,2025-11-14,11,November,Vitonic Tonus,Stock suffisant,Difficile,Bon,1,6.4,6.47,6.6,Neutre,0,Demande info,0,1,Confirmé,0,7.13,Standard (6-10 min),2025
CONV00223,REP016,CLI0059,2025-11-15,11,November,LV CYSPROTECT,Demande Faible,Standard,Faible,0,4.4,4.38,4.0,Négatif,-1,Pas intéressé,0,0,À améliorer,0,6.72,Standard (6-10 min),2025
CONV00293,REP024,CLI0179,2025-11-15,11,November,OLIGOVIT Trio,Stock suffisant,Difficile,Bon,1,6.7,6.6,6.1,Neutre,0,Intérêt Modéré,0,1,Confirmé,0,9.78,Standard (6-10 min),2025
CONV00146,REP024,CLI0005,2025-11-15,11,November,Omevie Omega 3 – 1000,Effets Secondaires,Standard,Excellent,2,8.7,8.6,8.2,Positif,1,Rendez-vous futur,1,1,Expert,1,8.72,Standard (6-10 min),2025
CONV00282,REP004,CLI0138,2025-11-15,11,November,"Echinacée, Zinc, Vit.C",Effets Secondaires,Standard,Excellent,2,8.4,8.39,8.2,Positif,1,Commande,1,1,Expert,1,8.57,Standard (6-10 min),2025
CONV00032,REP022,CLI0027,2025-11-16,11,November,PHYTOFANE Lotion anti chute,Stock suffisant,Difficile,Bon,1,7.4,7.22,6.5,Neutre,0,Intérêt Modéré,0,1,Confirmé,0,8.65,Standard (6-10 min),2025
CONV00237,REP024,CLI0037,2025-11-17,11,November,LV Fersang junior,Efficacité douteuse,Standard,Bon,1,6.8,6.56,5.7,Positif,1,Intérêt Modéré,0,1,Confirmé,1,4.65,Courte (3-6 min),2025
CONV00004,REP012,CLI0217,2025-11-18,11,November,LV Fersang junior,Posologie complexe,Difficile,Excellent,2,8.4,8.38,8.2,Neutre,0,Intérêt Fort,1,1,Expert,1,7.15,Standard (6-10 min),2025
CONV00370,REP004,CLI0172,2025-11-18,11,November,LV Vitamine A,Marque inconnue,Difficile,Excellent,2,9.2,9.09,8.5,Négatif,-1,Commande,1,1,Expert,2,5.8,Courte (3-6 min),2025
CONV00396,REP024,CLI0176,2025-11-19,11,November,Vitonic Tonus,Demande Faible,Standard,Bon,1,6.5,6.36,5.8,Neutre,0,Intérêt Modéré,0,1,Confirmé,0,9.87,Standard (6-10 min),2025
CONV00147,REP012,CLI0140,2025-11-20,11,November,LV Vitamine A,Concurrence,Standard,Bon,1,7.4,7.3,7.0,Neutre,0,À rappeler,0,0,Confirmé,0,8.93,Standard (6-10 min),2025
CONV00051,REP015,CLI0084,2025-11-20,11,November,PHYTOFANE Lotion anti chute,Effets Secondaires,Standard,Faible,0,4.3,4.2,3.3,Positif,1,Pas intéressé,0,0,À améliorer,0,8.48,Standard (6-10 min),2025
CONV00173,REP012,CLI0204,2025-11-20,11,November,"Echinacée, Zinc, Vit.C",Efficacité douteuse,Standard,Faible,0,4.1,3.98,3.5,Neutre,0,Refus,0,0,À améliorer,0,6.75,Standard (6-10 min),2025
CONV00033,REP001,CLI0046,2025-11-21,11,November,"Echinacée, Zinc, Vit.C",Concurrence,Standard,Faible,0,5.1,5.01,4.4,Neutre,0,Objections non résolues,0,0,À améliorer,0,8.67,Standard (6-10 min),2025
CONV00131,REP021,CLI0166,2025-11-21,11,November,LV Vitamine A,Effets Secondaires,Standard,Bon,1,6.5,6.29,5.5,Neutre,0,Demande info,0,1,Confirmé,0,2.55,Très courte (<3 min),2025
CONV00174,REP005,CLI0183,2025-11-21,11,November,LV Vitamine A,Prix élevé,Standard,Bon,1,6.7,6.59,6.0,Positif,1,À rappeler,0,0,Confirmé,0,8.85,Standard (6-10 min),2025
CONV00038,REP003,CLI0171,2025-11-22,11,November,"Echinacée, Zinc, Vit.C",Effets Secondaires,Standard,Bon,1,6.9,6.67,5.6,Positif,1,À rappeler,0,0,Confirmé,0,7.32,Standard (6-10 min),2025
CONV00383,REP005,CLI0174,2025-11-22,11,November,OLIGOVIT Trio,Demande Faible,Standard,Bon,1,6.8,6.68,6.0,Neutre,0,Intérêt Modéré,0,1,Confirmé,0,9.48,Standard (6-10 min),2025
CONV00133,REP021,CLI0203,2025-11-22,11,November,"Echinacée, Zinc, Vit.C",Demande Faible,Standard,Excellent,2,9.8,9.82,10.0,Neutre,0,Rendez-vous futur,1,1,Expert,3,8.93,Standard (6-10 min),2025
CONV00374,REP001,CLI0118,2025-11-22,11,November,Vitonic Tonus,Efficacité douteuse,Standard,Excellent,2,8.9,9.0,9.1,Neutre,0,Rendez-vous futur,1,1,Expert,2,2.32,Très courte (<3 min),2025
CONV00295,REP023,CLI0046,2025-11-24,11,November,OLIGOVIT Trio,Concurrence,Standard,Excellent,2,9.5,9.52,9.5,Négatif,-1,Rendez-vous futur,1,1,Expert,1,2.5,Très courte (<3 min),2025
CONV00209,REP008,CLI0142,2025-11-24,11,November,"Echinacée, Zinc, Vit.C",Stock suffisant,Difficile,Excellent,2,8.9,8.89,8.6,Positif,1,Intérêt Fort,1,1,Expert,1,8.62,Standard (6-10 min),2025
CONV00141,REP008,CLI0008,2025-11-25,11,November,OLIGOVIT Trio,Efficacité douteuse,Standard,Excellent,2,8.8,8.7,8.3,Positif,1,Commande,1,1,Expert,2,9.93,Standard (6-10 min),2025
CONV00210,REP024,CLI0121,2025-11-25,11,November,LV Fersang junior,Marque inconnue,Difficile,Excellent,2,8.8,8.94,9.7,Neutre,0,Rendez-vous futur,1,1,Expert,2,9.8,Standard (6-10 min),2025
CONV00274,REP008,CLI0107,2025-11-25,11,November,OLIGOVIT Trio,Stock suffisant,Difficile,Faible,0,4.0,4.0,4.0,Neutre,0,Pas intéressé,0,0,À améliorer,0,4.3,Courte (3-6 min),2025
CONV00115,REP009,CLI0180,2025-11-27,11,November,Vitonic Tonus,Prix élevé,Standard,Bon,1,6.6,6.56,6.1,Neutre,0,À rappeler,0,0,Confirmé,0,9.85,Standard (6-10 min),2025
CONV00134,REP001,CLI0093,2025-11-27,11,November,OLIGOVIT Trio,Posologie complexe,Difficile,Faible,0,4.0,3.76,2.6,Neutre,0,Pas intéressé,0,0,À améliorer,0,3.53,Courte (3-6 min),2025
CONV00071,REP006,CLI0203,2025-11-28,11,November,LV Vitamine A,Efficacité douteuse,Standard,Bon,1,6.3,6.1,5.2,Positif,1,Demande info,0,1,Confirmé,1,7.07,Standard (6-10 min),2025
CONV00329,REP012,CLI0058,2025-11-28,11,November,PHYTOFANE Lotion anti chute,Efficacité douteuse,Standard,Bon,1,6.3,6.14,5.6,Positif,1,Intérêt Modéré,0,1,Confirmé,1,5.58,Courte (3-6 min),2025
CONV00243,REP004,CLI0062,2025-11-28,11,November,OLIGOVIT Trio,Concurrence,Standard,Excellent,2,9.1,9.01,8.8,Négatif,-1,Commande,1,1,Expert,1,2.98,Très courte (<3 min),2025
CONV00276,REP019,CLI0201,2025-11-29,11,November,Omevie Omega 3 – 1000,Stock suffisant,Difficile,Bon,1,6.7,6.59,6.0,Neutre,0,Intérêt Modéré,0,1,Confirmé,0,8.3,Standard (6-10 min),2025
CONV00162,REP017,CLI0040,2025-11-29,11,November,LV Fersang junior,Prix élevé,Standard,Excellent,2,9.4,9.48,9.9,Positif,1,Rendez-vous futur,1,1,Expert,2,3.4,Courte (3-6 min),2025
CONV00127,REP015,CLI0162,2025-11-29,11,November,LV CYSPROTECT,Efficacité douteuse,Standard,Excellent,2,8.6,8.59,8.6,Neutre,0,Intérêt Fort,1,1,Expert,2,8.78,Standard (6-10 min),2025
CONV00055,REP004,CLI0179,2025-11-29,11,November,PHYTOFANE Lotion anti chute,Efficacité douteuse,Standard,Bon,1,7.1,6.92,6.1,Positif,1,Intérêt Modéré,0,1,Confirmé,1,9.25,Standard (6-10 min),2025
CONV00081,REP001,CLI0073,2025-11-30,11,November,Omevie Omega 3 – 1000,Effets Secondaires,Standard,Bon,1,6.8,6.48,5.3,Positif,1,Demande info,0,1,Confirmé,0,9.13,Standard (6-10 min),2025
CONV00175,REP020,CLI0190,2025-11-30,11,November,"Echinacée, Zinc, Vit.C",Concurrence,Standard,Bon,1,7.1,6.94,6.4,Négatif,-1,À rappeler,0,0,Confirmé,0,7.05,Standard (6-10 min),2025
CONV00048,REP001,CLI0091,2025-11-30,11,November,LV CYSPROTECT,Posologie complexe,Difficile,Bon,1,7.2,7.0,6.1,Neutre,0,Demande info,0,1,Confirmé,0,8.42,Standard (6-10 min),2025
CONV00264,REP024,CLI0101,2025-12-01,12,December,PHYTOFANE Lotion anti chute,Stock suffisant,Difficile,Excellent,2,9.6,9.47,9.0,Neutre,0,Commande,1,1,Expert,1,7.5,Standard (6-10 min),2025
CONV00359,REP013,CLI0088,2025-12-01,12,December,Omevie Omega 3 – 1000,Stock suffisant,Difficile,Faible,0,4.3,4.4,4.7,Positif,1,Refus,0,0,À améliorer,0,5.85,Courte (3-6 min),2025
CONV00363,REP002,CLI0177,2025-12-01,12,December,Vitonic Tonus,Demande Faible,Standard,Bon,1,6.3,6.14,5.2,Neutre,0,Demande info,0,1,Confirmé,0,3.73,Courte (3-6 min),2025
CONV00232,REP015,CLI0205,2025-12-02,12,December,PHYTOFANE Lotion anti chute,Marque inconnue,Difficile,Bon,1,7.0,6.79,5.8,Neutre,0,À rappeler,0,0,Confirmé,0,9.08,Standard (6-10 min),2025
CONV00335,REP002,CLI0077,2025-12-02,12,December,LV Fersang junior,Concurrence,Standard,Bon,1,6.9,6.87,6.8,Négatif,-1,Intérêt Modéré,0,1,Confirmé,0,5.88,Courte (3-6 min),2025
CONV00144,REP023,CLI0037,2025-12-02,12,December,PHYTOFANE Lotion anti chute,Prix élevé,Standard,Excellent,2,8.7,8.68,8.4,Neutre,0,Rendez-vous futur,1,1,Expert,2,5.65,Courte (3-6 min),2025
CONV00046,REP015,CLI0020,2025-12-03,12,December,Omevie Omega 3 – 1000,Stock suffisant,Difficile,Excellent,2,8.7,8.62,8.3,Positif,1,Commande,1,1,Expert,1,4.0,Courte (3-6 min),2025
CONV00041,REP022,CLI0022,2025-12-04,12,December,Vitonic Tonus,Marque inconnue,Difficile,Bon,1,6.8,6.76,6.9,Négatif,-1,Intérêt Modéré,0,1,Confirmé,0,6.38,Standard (6-10 min),2025
CONV00065,REP001,CLI0147,2025-12-04,12,December,LV Fersang junior,Marque inconnue,Difficile,Bon,1,6.7,6.52,5.5,Neutre,0,À rappeler,0,0,Confirmé,0,6.0,Standard (6-10 min),2025
CONV00035,REP013,CLI0085,2025-12-05,12,December,PHYTOFANE Lotion anti chute,Prix élevé,Standard,Excellent,2,9.1,9.04,9.0,Positif,1,Rendez-vous futur,1,1,Expert,2,9.37,Standard (6-10 min),2025
CONV00332,REP001,CLI0116,2025-12-06,12,December,LV Vitamine A,Effets Secondaires,Standard,Bon,1,6.6,6.52,6.0,Neutre,0,Intérêt Modéré,0,1,Confirmé,0,3.78,Courte (3-6 min),2025
CONV00063,REP024,CLI0124,2025-12-06,12,December,PHYTOFANE Lotion anti chute,Stock suffisant,Difficile,Bon,1,7.2,7.18,7.0,Positif,1,Intérêt Modéré,0,1,Confirmé,0,8.17,Standard (6-10 min),2025
CONV00225,REP015,CLI0093,2025-12-07,12,December,Omevie Omega 3 – 1000,Prix élevé,Standard,Excellent,2,8.8,8.86,9.1,Neutre,0,Intérêt Fort,1,1,Expert,2,2.87,Très courte (<3 min),2025
CONV00095,REP017,CLI0129,2025-12-07,12,December,OLIGOVIT Trio,Concurrence,Standard,Excellent,2,9.9,9.88,9.9,Négatif,-1,Intérêt Fort,1,1,Expert,1,9.08,Standard (6-10 min),2025
CONV00251,REP010,CLI0147,2025-12-08,12,December,Omevie Omega 3 – 1000,Effets Secondaires,Standard,Bon,1,6.9,6.61,5.3,Neutre,0,À rappeler,0,0,Confirmé,0,9.32,Standard (6-10 min),2025
CONV00308,REP008,CLI0215,2025-12-08,12,December,Omevie Omega 3 – 1000,Marque inconnue,Difficile,Excellent,2,9.0,8.86,8.2,Négatif,-1,Intérêt Fort,1,1,Expert,2,6.8,Standard (6-10 min),2025
